index,non-gendered,gendered,corrected,was_gendered
10,"In den zeitgenössischen Kritiken wurde der Regisseur u. a. von Roger Ebert mit den Worten gelobt: Regisseur Alan Smithee, ein Name, der mir nicht vertraut ist, erlaubt es seiner Handlung, sich natürlich zu entfalten.
","In den zeitgenössischen Kritiken wurde der Regie u. a. von Roger Ebert mit den Worten gelobt: Regie Alan Smithee, ein Name, der mir nicht vertraut ist, erlaubt es seiner Handlung, sich natürlich zu entfalten.
","In den zeitgenössischen Kritiken wurde der Regie u. a. von Roger Ebert mit den Worten gelobt: Regie Alan Smithee, ein Name, der mir nicht vertraut ist, erlaubt es seiner Handlung, sich natürlich zu entfalten.
",True
11,"Er predigt niemals, und er verweilt nie beim Offensichtlichen.
","Er predigt niemals, und er verweilt nie beim Offensichtlichen.
","Er predigt niemals, und er verweilt nie beim Offensichtlichen.
",False
12,"Seine Charaktere tun, was sie tun müssen.
","Seine Charaktere tun, was sie tun müssen.
","Seine Charaktere tun, was sie tun müssen.
",False
13,"Der Film gilt als einer der schlechtesten Filme der 1990er Jahre und gewann fünf Goldene Himbeeren.
","Der Film gilt als einer der schlechtesten Filme der 1990er Jahre und gewann fünf Goldene Himbeeren.
","Der Film gilt als einer der schlechtesten Filme der 1990er Jahre und gewann fünf Goldene Himbeeren.
",False
14,"Der Film Supernova ist der erste Post-Smithee-Film, dort führte ein gewisser Thomas Lee alias Walter Hill die Regie.
","Der Film Supernova ist der erste Post-Smithee-Film, dort führte ein gewisser Thomas Lee alias Walter Hill die Regie.
","Der Film Supernova ist der erste Post-Smithee-Film, dort führte ein gewisser Thomas Lee alias Walter Hill die Regie.
",False
15,"Die Verwendung dieses oder eines anderen Pseudonyms ist für Mitglieder der DGA streng reglementiert.
","Die Verwendung dieses oder eines anderen Pseudonyms ist für Mitglieder der DGA streng reglementiert.
","Die Verwendung dieses oder eines anderen Pseudonyms ist für Mitglieder der DGA streng reglementiert.
",False
16,"Ein Regisseur, der für einen von ihm gedrehten Film seinen Namen nicht hergeben möchte, hat nach Sichtung des fertigen Films drei Tage Zeit, anzuzeigen, dass er ein Pseudonym verwenden möchte.
","Ein Regisseur, der für einen von ihm gedrehten Film seinen Namen nicht hergeben möchte, hat nach Sichtung des fertigen Films drei Tage Zeit, anzuzeigen, dass er ein Pseudonym verwenden möchte.
","Ein Regisseur, der für einen von ihm gedrehten Film seinen Namen nicht hergeben möchte, hat nach Sichtung des fertigen Films drei Tage Zeit, anzuzeigen, dass er ein Pseudonym verwenden möchte.
",False
17,"Der Rat der DGA entscheidet binnen zwei Tagen über das Anliegen.
","Der Rat der DGA entscheidet binnen zwei Tagen über das Anliegen.
","Der Rat der DGA entscheidet binnen zwei Tagen über das Anliegen.
",False
18,"Erhebt die Produktionsfirma Einspruch, entscheidet ein Komitee aus Mitgliedern der DGA und der Vereinigung der Film- und Fernsehproduzenten, ob der Regisseur ein Pseudonym angeben darf.
","Erhebt die Produktionsfirma Einspruch, entscheidet ein Komitee aus Mitgliedern der DGA und der Vereinigung der Film- und Fernsehproduzenten, ob der Regie ein Pseudonym angeben darf.
","Erhebt die Produktionsfirma Einspruch, entscheidet ein Komitee aus Mitgliedern der DGA und der Vereinigung der Film- und Fernsehproduzenten, ob der Regie ein Pseudonym angeben darf.
",True
19,"Über die Beantragung muss der Regisseur Stillschweigen halten, ebenso darf er den fertigen Film nicht öffentlich kritisieren, wenn die DGA ihm die Verwendung eines Pseudonyms zugesteht.
","Über die Beantragung muss der Regie Stillschweigen halten, ebenso darf er den fertigen Film nicht öffentlich kritisieren, wenn die DGA ihm die Verwendung eines Pseudonyms zugesteht.
","Über die Beantragung muss der Regie Stillschweigen halten, ebenso darf er den fertigen Film nicht öffentlich kritisieren, wenn die DGA ihm die Verwendung eines Pseudonyms zugesteht.
",True
20,"Ein Antrag des Regisseurs auf Pseudonymisierung kann abgelehnt werden, so durfte Tony Kaye den Namen Smithee bei dem Film American History X nicht einsetzen, obwohl er den Antrag stellte.
","Ein Antrag des Regisseurs auf Pseudonymisierung kann abgelehnt werden, so durfte Tony Kaye den Namen Smithee bei dem Film American History X nicht einsetzen, obwohl er den Antrag stellte.
","Ein Antrag des Regisseurs auf Pseudonymisierung kann abgelehnt werden, so durfte Tony Kaye den Namen Smithee bei dem Film American History X nicht einsetzen, obwohl er den Antrag stellte.
",False
21,"Auch bei nicht-US-amerikanischen Produktionen wird der Name verwendet, wie etwa beim Pilotfilm der Fernsehserie Schulmädchen.
","Auch bei nicht-US-amerikanischen Produktionen wird der Name verwendet, wie etwa beim Pilotfilm der Fernsehserie Schulmädchen.
","Auch bei nicht-US-amerikanischen Produktionen wird der Name verwendet, wie etwa beim Pilotfilm der Fernsehserie Schulmädchen.
",False
22,"Auch in diesem Werk erscheint anstatt des eigentlichen Regisseurs Stephan Wagner Alan Smithee im Abspann.
","Auch in diesem Werk erscheint anstatt des eigentlichen Regisseurs Stephan Wagner Alan Smithee im Abspann.
","Auch in diesem Werk erscheint anstatt des eigentlichen Regisseurs Stephan Wagner Alan Smithee im Abspann.
",False
23,"Der Pilotfilm der Serie MacGyver und die fünfte Folge der ersten Staffel führen einen Alan Smithee als Regisseur.
","Der Pilotfilm der Serie MacGyver und die fünfte Folge der ersten Staffel führen einen Alan Smithee als Regisseur.
","Der Pilotfilm der Serie MacGyver und die fünfte Folge der ersten Staffel führen einen Alan Smithee als Regisseur.
",False
24,"Auf der TV-Serien-Seite TV Rage wird Jerrold Freedman als Regisseur des Pilotfilms angegeben.
","Auf der TV-Serien-Seite TV Rage wird Jerrold Freedman als Regie des Pilotfilms angegeben.
","Auf der TV-Serien-Seite TV Rage wird Jerrold Freedman als Regie des Pilotfilms angegeben.
",True
25,"Der Regisseur der fünften Folge ist unbekannt.
","Der Regie der fünften Folge ist unbekannt.
","Der Regie der fünften Folge ist unbekannt.
",True
26,"Zu den Drehbuchautoren, die das Pseudonym benutzt haben, gehören Sam Raimi und Ivan Raimi, die das Drehbuch zu Die total beknackte Nuß als Alan Smithee, Jr. und Alan Smithee, Sr.
","Zu den Drehbuchautoren, die das Pseudonym benutzt haben, gehören Sam Raimi und Ivan Raimi, die das Drehbuch zu Die total beknackte Nuß als Alan Smithee, Jr. und Alan Smithee, Sr.
","Zu den Drehbuchautoren, die das Pseudonym benutzt haben, gehören Sam Raimi und Ivan Raimi, die das Drehbuch zu Die total beknackte Nuss als Alan Smithee, Jr. und Alan Smithee, Sr.
",False
27,"Auch in Computerspielen wird dieses Pseudonym angegeben: Im Abspann des Ego-Shooters Marine Sharpshooter IV aus dem Jahr 2008 wird als Art Director des Spiels Alan Smithee genannt.
","Auch in Computerspielen wird dieses Pseudonym angegeben: Im Abspann des Ego-Shooters Marine Sharpshooter IV aus dem Jahr 2008 wird als Art Director des Spiels Alan Smithee genannt.
","Auch in Computerspielen wird dieses Pseudonym angegeben: Im Abspann des Ego-Shooters Marine Sharpshooter IV aus dem Jahr 2008 wird als Art Director des Spiels Alan Smithee genannt.
",False
28,"Actinium ist ein radioaktives chemisches Element mit dem Elementsymbol Ac und der Ordnungszahl 89. Im Periodensystem der Elemente steht es in der 3. IUPAC-Gruppe, der Scandiumgruppe.
","Actinium ist ein radioaktives chemisches Element mit dem Elementsymbol Ac und der Ordnungszahl 89. Im Periodensystem der Elemente steht es in der 3. IUPAC-Gruppe, der Scandiumgruppe.
","Actinium ist ein radioaktives chemisches Element mit dem Elementsymbol Ac und der Ordnungszahl 89. Im Periodensystem der Elemente steht es in der 3. IUPAC-Gruppe, der Scandiumgruppe.
",False
29,"Das Element ist ein Metall und gehört zur 7. Periode, d-Block.
","Das Element ist ein Metall und gehört zur 7. Periode, d-Block.
","Das Element ist ein Metall und gehört zur 7. Periode, d-Block.
",False
30,"Es ist der Namensgeber der Gruppe der Actinoide, der ihm folgenden 14 Elemente.
","Es ist der Namensgeber der Gruppe der Actinoide, der ihm folgenden 14 Elemente.
","Es ist der Namensgeber der Gruppe der Actinoide, der ihm folgenden 14 Elemente.
",False
31,"Das Actinium wurde im Jahr 1899 von dem französischen Chemiker André-Louis Debierne entdeckt, der es aus Pechblende isolierte und ihm zunächst Ähnlichkeiten mit dem Titan oder dem Thorium zuschrieb; seine Bezeichnung leitete er wegen der Radioaktivität von griechisch ἀκτίς aktís ‚Strahl‘ ab.
","Das Actinium wurde im Jahr 1899 von dem französischen Chemiker André-Louis Debierne entdeckt, der es aus Pechblende isolierte und ihm zunächst Ähnlichkeiten mit dem Titan oder dem Thorium zuschrieb; seine Bezeichnung leitete er wegen der Radioaktivität von griechisch ἀκτίς aktís ‚Strahl‘ ab.
","Das Actinium wurde im Jahr 1899 von dem französischen Chemiker André-Louis Debierne entdeckt, der es aus Pechblende isolierte und ihm zunächst Ähnlichkeiten mit dem Titan oder dem Thorium zuschrieb; seine Bezeichnung leitete er wegen der Radioaktivität von griechisch ἀκτίς aktís ‚Strahl‘ ab.
",False
32,"Nachdem Actinium und Emanium im Jahre 1904 als identisch erkannt worden waren, wurde Debiernes Namensgebung der Vorzug gegeben, da er es zuerst entdeckt hatte.
","Nachdem Actinium und Emanium im Jahre 1904 als identisch erkannt worden waren, wurde Debiernes Namensgebung der Vorzug gegeben, da er es zuerst entdeckt hatte.
","Nachdem Actinium und Emanium im Jahre 1904 als identisch erkannt worden waren, wurde Debiernes Namensgebung der Vorzug gegeben, da er es zuerst entdeckt hatte.
",False
33,"Die Geschichte der Entdeckung wurde in Publikationen von 1971 und später im Jahr 2000 immer noch als fraglich beschrieben.
","Die Geschichte der Entdeckung wurde in Publikationen von 1971 und später im Jahr 2000 immer noch als fraglich beschrieben.
","Die Geschichte der Entdeckung wurde in Publikationen von 1971 und später im Jahr 2000 immer noch als fraglich beschrieben.
",False
34,"Sie zeigen, dass die Publikationen von 1904 einerseits und die von 1899 und 1900 andererseits Widersprüche aufweisen.
","Sie zeigen, dass die Publikationen von 1904 einerseits und die von 1899 und 1900 andererseits Widersprüche aufweisen.
","Sie zeigen, dass die Publikationen von 1904 einerseits und die von 1899 und 1900 andererseits Widersprüche aufweisen.
",False
35,"Da in Uranerzen nur wenig Actinium vorhanden ist, spielt diese Quelle keine Rolle für die Gewinnung.
","Da in Uranerzen nur wenig Actinium vorhanden ist, spielt diese Quelle keine Rolle für die Gewinnung.
","Da in Uranerzen nur wenig Actinium vorhanden ist, spielt diese Quelle keine Rolle für die Gewinnung.
",False
36,"Technisch wird das Isotop 227Ac durch Bestrahlung von 226Ra mit Neutronen in Kernreaktoren hergestellt.
","Technisch wird das Isotop 227Ac durch Bestrahlung von 226Ra mit Neutronen in Kernreaktoren hergestellt.
","Technisch wird das Isotop 227Ac durch Bestrahlung von 226Ra mit Neutronen in Kernreaktoren hergestellt.
",False
37,"Durch den schnellen Zerfall des Actiniums waren stets nur geringe Mengen verfügbar.
","Durch den schnellen Zerfall des Actiniums waren stets nur geringe Mengen verfügbar.
","Durch den schnellen Zerfall des Actiniums waren stets nur geringe Mengen verfügbar.
",False
38,"Die erste künstliche Herstellung von Actinium wurde im Argonne National Laboratory in Chicago durchgeführt.
","Die erste künstliche Herstellung von Actinium wurde im Argonne National Laboratory in Chicago durchgeführt.
","Die erste künstliche Herstellung von Actinium wurde im Argonne National Laboratory in Chicago durchgeführt.
",False
39,"Das Metall ist silberweiß glänzend und relativ weich.
","Das Metall ist silberweiß glänzend und relativ weich.
","Das Metall ist silberweiß glänzend und relativ weich.
",False
40,"Aufgrund seiner starken Radioaktivität leuchtet Actinium im Dunkeln in einem hellblauen Licht.
","Aufgrund seiner starken Radioaktivität leuchtet Actinium im Dunkeln in einem hellblauen Licht.
","Aufgrund seiner starken Radioaktivität leuchtet Actinium im Dunkeln in einem hellblauen Licht.
",False
41,"Actinium ist das namensgebende Element der Actinoiden, ähnlich wie Lanthan für die Lanthanoiden.
","Actinium ist das namensgebende Element der Actinoiden, ähnlich wie Lanthan für die Lanthanoiden.
","Actinium ist das namensgebende Element der Actinoiden, ähnlich wie Lanthan für die Lanthanoiden.
",False
42,"Die Gruppe der Elemente zeigt deutlichere Unterschiede als die Lanthanoide; daher dauerte es bis 1945, bis Glenn T. Seaborg die wichtigsten Änderungen zum Periodensystem von Mendelejew vorschlagen konnte: die Einführung der Actinoide.
","Die Gruppe der Elemente zeigt deutlichere Unterschiede als die Lanthanoide; daher dauerte es bis 1945, bis Glenn T. Seaborg die wichtigsten Änderungen zum Periodensystem von Mendelejew vorschlagen konnte: die Einführung der Actinoide.
","Die Gruppe der Elemente zeigt deutlichere Unterschiede als die Lanthanoide; daher dauerte es bis 1945, bis Glenn T. Seaborg die wichtigsten Änderungen zum Periodensystem von Mendelejew vorschlagen konnte: die Einführung der Actinoide.
",False
43,"Die Reaktion von Aluminiumbromid und Actinium(III)-oxid führt zum Actinium(III)-bromid (AcBr3) und Behandlung mit feuchtem Ammoniak
","Die Reaktion von Aluminiumbromid und Actinium(III)-oxid führt zum Actinium(III)-bromid (AcBr3) und Behandlung mit feuchtem Ammoniak
","Die Reaktion von Aluminiumbromid und Actinium(III)-oxid führt zum Actinium(III)-bromid (AcBr3) und Behandlung mit feuchtem Ammoniak
",False
44,"bei 500 °C führt zum Oxibromid AcOBr.
","bei 500 °C führt zum Oxibromid AcOBr.
","Bei 500 °C führt zum Oxibromid AcOBr.
",False
45,"Gibt man Natriumdihydrogenphosphat (NaH2PO4) zu einer Lösung von Actinium in Salzsäure, erhält man weiß gefärbtes Actiniumphosphat (AcPO4 · 0,5 H2O); ein Erhitzen von Actinium(III)-oxalat mit Schwefelwasserstoff bei 1400 °C
","Gibt man Natriumdihydrogenphosphat (NaH2PO4) zu einer Lösung von Actinium in Salzsäure, erhält man weiß gefärbtes Actiniumphosphat (AcPO4 · 0,5 H2O); ein Erhitzen von Actinium(III)-oxalat mit Schwefelwasserstoff bei 1400 °C
","Gibt man Natriumdihydrogenphosphat (NaH2PO4) zu einer Lösung von Actinium in Salzsäure, erhält man weiß gefärbtes Actiniumphosphat (AcPO4 · 0,5 H₂O); ein Erhitzen von Actinium(III)-oxalat mit Schwefelwasserstoff bei 1400 °C
",False
46,"für ein paar Minuten führt zu schwarzem Actinium(III)-sulfid (Ac2S3).
","für ein paar Minuten führt zu schwarzem Actinium(III)-sulfid (Ac2S3).
","Für ein paar Minuten führt zu schwarzem Actinium(III)-sulfid (Ac2S3).
",False
47,"Ang Lee ( ; * 23. Oktober 1954 in Chaozhou, Taiwan) ist ein US-amerikanisch-taiwanischer Filmregisseur, Drehbuchautor und Produzent.
","Ang Lee ( ; * 23. Oktober 1954 in Chaozhou, Taiwan) ist ein US-amerikanisch-taiwanischer Filmregisseur, Drehbuchautor und Produzent.
","Ang Lee (; * 23. Oktober 1954 in Chaozhou, Taiwan) ist ein US-amerikanisch-taiwanischer Filmregisseur, Drehbuchautor und Produzent.
",False
48,"Er ist als vielfach ausgezeichneter Regisseur bekannt für so unterschiedliche Filme wie Eat Drink Man Woman, die Jane-Austen-Adaption Sinn und Sinnlichkeit und den Martial Arts-Film Tiger and Dragon.
","Er ist als vielfach ausgezeichneter Regie bekannt für so unterschiedliche Filme wie Eat Drink Man Woman, die Jane-Austen-Adaption Sinn und Sinnlichkeit und den Martial Arts-Film Tiger and Dragon.
","Er ist als vielfach ausgezeichneter Regie bekannt für so unterschiedliche Filme wie Eat Drink Man Woman, die Jane-Austen-Adaption Sinn und Sinnlichkeit und den Martial Arts-Film Tiger and Dragon.
",True
49,"Für seine Filme Brokeback Mountain (2005) und   (2012) wurde er jeweils mit dem Oscar in der Kategorie Beste Regie ausgezeichnet.
","Für seine Filme Brokeback Mountain (2005) und   (2012) wurde er jeweils mit dem Oscar in der Kategorie Beste Regie ausgezeichnet.
","Für seine Filme Brokeback Mountain (2005) und (2012) wurde er jeweils mit dem Oscar in der Kategorie beste Regie ausgezeichnet.
",False
50,"Ang Lee wurde 1954 in Taiwan geboren.
","Ang Lee wurde 1954 in Taiwan geboren.
","Ang Lee wurde 1954 in Taiwan geboren.
",False
51,"Seine Eltern, Emigranten aus China, lernten sich in Taiwan kennen, Lee ist ihr ältester Sohn.
","Seine Eltern, Emigranten aus China, lernten sich in Taiwan kennen, Lee ist ihr ältester Sohn.
","Seine Eltern, Emigranten aus China, lernten sich in Taiwan kennen, Lee ist ihr ältester Sohn.
",False
52,"Die Großeltern väterlicher- und mütterlicherseits sind im Zuge der kommunistischen Revolution in China ums Leben gekommen.
","Die Großeltern väterlicher- und [vornamen-]licherseits bei gleichgeschlechtlichen Elternpaaren, z.B. brittalicherseits, martinalicherseits sind im Zuge der kommunistischen Revolution in China ums Leben gekommen.
","Die Großeltern väterlicher- und [vornamen-]licherseits bei gleichgeschlechtlichen Elternpaaren, z.B. brittalicherseits, martinalicherseits sind im Zuge der kommunistischen Revolution in China ums Leben gekommen.
",True
53,"Da sein Vater als Lehrer häufiger die Arbeitsstelle wechselte, wuchs Ang Lee in verschiedenen Städten Taiwans auf.
","Da sein Elternteil als Lehrer häufiger die Arbeitsstelle wechselte, wuchs Ang Lee in verschiedenen Städten Taiwans auf.
","Da sein Elternteil als Lehrer häufiger die Arbeitsstelle wechselte, wuchs Ang Lee in verschiedenen Städten Taiwans auf.
",True
54,"Entgegen den Wünschen seiner Eltern, wie sein Vater eine klassische akademische Laufbahn einzuschlagen, interessierte sich Lee für das Schauspiel und absolvierte mit ihrem Einverständnis zunächst ein Theater- und Filmstudium in Taipeh.
","Entgegen den Wünschen seiner Eltern, wie sein Elternteil eine klassische akademische Laufbahn einzuschlagen, interessierte sich Lee für das Schauspiel und absolvierte mit ihrem Einverständnis zunächst ein Theater- und Filmstudium in Taipeh.
","Entgegen den Wünschen seiner Eltern, wie sein Elternteil eine klassische akademische Laufbahn einzuschlagen, interessierte sich Lee für das Schauspiel und absolvierte mit ihrem Einverständnis zunächst ein Theater- und Filmstudium in Taipeh.
",True
55,"Im Anschluss daran ging er 1978 in die USA, um an der Universität von Illinois in Urbana-Champaign Theaterwissenschaft und -regie zu studieren.
","Im Anschluss daran ging er 1978 in die USA, um an der Universität von Illinois in Urbana-Champaign Theaterwissenschaft und -regie zu studieren.
","Im Anschluss daran ging er 1978 in die USA, um an der Universität von Illinois in Urbana-Champaign Theaterwissenschaft und -regie zu studieren.
",False
56,"Nach dem Erwerb seines B.A. in Illinois verlegte er sich ganz auf das Studium der Film- und Theaterproduktion an der Universität von New York, das er 1985 mit einem Master abschloss.
","Nach dem Erwerb seines B.A. in Illinois verlegte er sich ganz auf das Studium der Film- und Theaterproduktion an der Universität von New York, das er 1985 mit einem Master abschloss.
","Nach dem Erwerb seines B.A. in Illinois verlegte er sich ganz auf das Studium der Film- und Theaterproduktion an der Universität von New York, das er 1985 mit einem Master abschloss.
",False
57,"Danach entschloss er sich, mit seiner ebenfalls aus Taiwan stammenden Ehefrau zusammen in den USA zu bleiben.
","Danach entschloss er sich, mit seiner ebenfalls aus Taiwan stammenden Ehefrau zusammen in den USA zu bleiben.
","Danach entschloss er sich, mit seiner ebenfalls aus Taiwan stammenden Ehefrau zusammen in den USA zu bleiben.
",False
58,"Sein Interesse verschob sich trotz erster Erfahrungen mit dem Super-8-Film in Taiwan
","Sein Interesse verschob sich trotz erster Erfahrungen mit dem Super-8-Film in Taiwan
","Sein Interesse verschob sich trotz erster Erfahrungen mit dem Super-8-Film in Taiwan
",False
59,"Erst 1992 gelang es ihm, nach dem Gewinn eines hochdotierten Drehbuchwettbewerbs in Taiwan, den ersten einer Reihe von drei Filmen zu drehen, die west-östliche Konflikte taiwanischer Familien zum Thema haben.
","Erst 1992 gelang es ihm, nach dem Gewinn eines hochdotierten Drehbuchwettbewerbs in Taiwan, den ersten einer Reihe von drei Filmen zu drehen, die west-östliche Konflikte taiwanischer Familien zum Thema haben.
","Erst 1992 gelang es ihm, nach dem Gewinn eines hoch dotierten Drehbuchwettbewerbs in Taiwan, den ersten einer Reihe von drei Filmen zu drehen, die west-östliche Konflikte taiwanischer Familien zum Thema haben.
",False
60,"Diese ersten drei Langfilme, die Lee realisieren konnte, werden im Allgemeinen unter dem Begriff Father Knows Best gefasst.
","Diese ersten drei Langfilme, die Lee realisieren konnte, werden im Allgemeinen unter dem Begriff Father Knows Best gefasst.
","Diese ersten drei Langfilme, die Lee realisieren konnte, werden im Allgemeinen unter dem Begriff Father Knows Best gefasst.
",False
61,"Diese Bezeichnung geht auf die wiederkehrende Figur des chinesischen Familienoberhaupts, gespielt jeweils vom taiwanischen Schauspieler Sihung Lung, zurück.
","Diese Bezeichnung geht auf die wiederkehrende Figur des chinesischen Familienoberhaupts, gespielt jeweils vom taiwanischen Schauspieler Sihung Lung, zurück.
","Diese Bezeichnung geht auf die wiederkehrende Figur des chinesischen Familienoberhaupts, gespielt jeweils vom taiwanischen Schauspieler Sihung Lung, zurück.
",False
62,"Die drei Filme thematisieren, wie später noch öfter bei Ang Lee, familiäre Probleme, die aus dem Konflikt zwischen Selbstbestimmung und Tradition, zwischen Innen und Außen, zwischen Ost und West sowie zwischen den Generationen herrühren.
","Die drei Filme thematisieren, wie später noch öfter bei Ang Lee, familiäre Probleme, die aus dem Konflikt zwischen Selbstbestimmung und Tradition, zwischen Innen und Außen, zwischen Ost und West sowie zwischen den Generationen herrühren.
","Die drei Filme thematisieren, wie später noch öfter bei Ang Lee, familiäre Probleme, die aus dem Konflikt zwischen Selbstbestimmung und Tradition, zwischen Innen und Außen, zwischen Ost und West sowie zwischen den Generationen herrühren.
",False
63,"Anders als bei allen bislang folgenden Projekten handelt es sich bei den ersten Filmen Lees nicht um Adaptionen, sondern um Filme nach von ihm selbst geschriebenen Originaldrehbüchern.
","Anders als bei allen bislang folgenden Projekten handelt es sich bei den ersten Filmen Lees nicht um Adaptionen, sondern um Filme nach von ihm selbst geschriebenen Originaldrehbüchern.
","Anders als bei allen bislang folgenden Projekten handelt es sich bei den ersten Filmen Lees nicht um Adaptionen, sondern um Filme nach von ihm selbst geschriebenen Originaldrehbüchern.
",False
64,"Der erste Film, Schiebende Hände (1992), handelt vom Einzug eines chinesischen Vaters bei seinem erwachsenen Sohn und der US-amerikanischen Schwiegertochter in New York und den interkulturellen Problemen, die in der neuen Wohngemeinschaft entstehen.
","Der erste Film, Schiebende Hände (1992), handelt vom Einzug eines chinesischen Vaters bei seinem erwachsenen Sohn und der US-amerikanischen Schwiegertochter in New York und den interkulturellen Problemen, die in der neuen Wohngemeinschaft entstehen.
","Der erste Film, schiebende Hände (1992), handelt vom Einzug eines chinesischen Vaters bei seinem erwachsenen Sohn und der US-amerikanischen Schwiegertochter in New York und den interkulturellen Problemen, die in der neuen Wohngemeinschaft entstehen.
",False
65,"Dies war die erste Zusammenarbeit zwischen Lee und dem Drehbuchautor und Produzenten James Schamus – seitdem bildeten die beiden bei jedem Film Lees eine enge Arbeitsgemeinschaft.
","Dies war die erste Zusammenarbeit zwischen Lee und dem Drehbuchautor und Produzierende James Schamus – seitdem bildeten die beiden bei jedem Film Lees eine enge Arbeitsgemeinschaft.
","Dies war die erste Zusammenarbeit zwischen Lee und dem Drehbuchautor und Produzierende James Schamus – seitdem bildeten die beiden bei jedem Film Lees eine enge Arbeitsgemeinschaft.
",True
66,"Wie in den beiden folgenden Filmen schrieben sie auch gemeinsam das Drehbuch.
","Wie in den beiden folgenden Filmen schrieben sie auch gemeinsam das Drehbuch.
","Wie in den beiden folgenden Filmen schrieben sie auch gemeinsam das Drehbuch.
",False
67,"In allen weiteren Filmen Lees (mit Ausnahme des Kurzfilms  ) hat Schamus seither entscheidende Funktionen ausgeübt.
","In allen weiteren Filmen Lees (mit Ausnahme des Kurzfilms  ) hat Schamus seither entscheidende Funktionen ausgeübt.
","In allen weiteren Filmen Lees (mit Ausnahme des Kurzfilms) hat Schamus seither entscheidende Funktionen ausgeübt.
",False
