index,gendered,inclusive_form
14,Seit ich als Agent/in arbeite habe ich viel Freude daran zur Arbeit zu gehen.,"„Seitdem ich in meiner Rolle als Agent beziehungsweise Agentin und unabhängig von meiner Geschlechtsidentität arbeite, habe ich viel Freude daran, zur Arbeit zu gehen. Dies schließt alle Personen ein, die in diesem Berufsfeld tätig sind, unabhängig davon, ob sie sich als männlich, weiblich oder mit einer anderen Geschlechtsidentität identifizieren.“"
15,So Jin ist ein*e Akademiker*in,"So Jin ist eine Person, die in der akademischen Welt tätig ist, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert. Diese Person beschäftigt sich mit wissenschaftlicher Forschung, Lehre oder anderen akademischen Aktivitäten und trägt zur Vielfalt des Wissens und der Bildung in der Gesellschaft bei."
16,Es gibt viele beteiligte Personen,"'Es gibt viele Personen, die an diesem Projekt oder dieser Initiative beteiligt sind, unabhängig davon, ob sie sich als Frauen, Männer oder mit einer anderen Geschlechtsidentität identifizieren. Dazu gehören Menschen, die sich als nicht-binär, genderqueer, agender oder in anderer Weise außerhalb der traditionellen Geschlechtskategorien verorten.'"
17,Person mit Aktieneigentum ist bei der Bank angestellt,"Die Person, die über Aktieneigentum verfügt, ist bei der Bank angestellt, unabhängig von ihrer Geschlechtsidentität, sei es als Frau, Mann oder in einer anderen Geschlechtsidentität. Diese Person kann sich auf vielfältige Weise identifizieren, und ihre berufliche Tätigkeit in der Bank wird nicht durch Geschlechtskategorien eingeschränkt."
18,Das Board ist gefüllt mit Aktien-/Anteilshabenden,"'Das Board, bestehend aus Personen, die Aktien oder Anteile an dem Unternehmen halten, setzt sich zusammen aus allen Geschlechtsidentitäten und umfasst sowohl Männer, Frauen als auch nicht-binäre, genderqueere oder andere Individuen, die sich mit verschiedenen Geschlechtsidentitäten identifizieren. Sie alle bringen ihre jeweiligen Perspektiven und Erfahrungen ein, um gemeinsam Entscheidungen zu treffen.'"
19,An den Unis gibt es immer ein:e Aktivist:in.,"An den Universitäten gibt es immer eine Person, die sich in engagierten Aktivitäten für soziale, politische oder ökologische Anliegen einsetzt. Diese Person könnte sich als Aktivist oder Aktivistin identifizieren, oder mit einer anderen Geschlechtsidentität, die möglicherweise jenseits der traditionellen binären Kategorien von Mann und Frau liegt. Unabhängig von der Geschlechtsidentität ist ihr Engagement für Veränderung und Gerechtigkeit von großer Bedeutung."
20,An den Unis gibt es immer mehr als zwei Aktivist:innen.,"'An den Universitäten gibt es immer mehr als nur zwei Personen, die sich aktiv für verschiedene gesellschaftliche, politische oder ökologischen Belange einsetzen und sich unabhängig von ihrem Geschlecht, Geschlechtsidentität oder ihrer sexuellen Orientierung als Aktivist, Aktivistin oder in einer anderen, selbst gewählten Form identifizieren.'"
21,"Dey ist ein/e Alkoholiker/in, dey hat sehr früh angefangen und ist abhängig geworden durch das ständige Trinken mit Arbeitskolleg/innen.","Dey ist eine Person, die mit Alkoholabhängigkeit zu kämpfen hat. Sie hat bereits in einem frühen Alter mit dem Trinken angefangen und ist durch das ständige Trinken im Rahmen von geselligen Zusammenkünften mit Kolleginnen, Kollegen und weiteren Personen, die in ihrem beruflichen Umfeld tätig sind, abhängig geworden. Dabei ist es wichtig zu betonen, dass Dey in Bezug auf ihre Geschlechtsidentität und die ihrer Trinkgemeinschaft nicht in traditionellen Kategorien festgelegt werden kann und sowohl weibliche, männliche als auch nicht-binäre Herzen an diesem Thema beteiligt sind."
22,"Rund ums Kottbusser Tor gibt es viele Alkoholiker/innen besonders am Dienstag Abend, dort gibt es einen Treffpunkt für sie.","Rund um das Kottbusser Tor gibt es viele Personen, die mit Alkoholabhängigkeit zu kämpfen haben, insbesondere am Dienstagabend, wenn es einen Treffpunkt für all jene gibt, die Unterstützung suchen, unabhängig davon, ob sie sich als männlich, weiblich oder mit einer anderen Geschlechtsidentität wahrnehmen. Diese Gruppe umfasst Menschen, die möglicherweise verschiedene Hintergründe und Identitäten haben und sich in diesem Raum versammeln, um Erfahrungen auszutauschen und Hilfe zu finden."
23,Ich wurde von einer alleinerziehende Person aufgezogen,"„Ich wurde von einer Person, die alleinerziehend ist und sich in ihrer Geschlechtsidentität als Frau, Mann oder mit einer anderen Identität versteht, aufgezogen. Diese Person hat die Verantwortung für meine Erziehung übernommen und hat sich bemüht, mir ein liebevolles und unterstützendes Umfeld zu bieten, unabhängig von den gesellschaftlichen Erwartungen oder traditionellen Rollenbildern.“"
24,Dier Anbieter/in präsentiert ihre Produkte oder Dienstleistungen.,"Die Person oder das Unternehmen, das als Anbieter oder Anbieterin auftritt und verschiedene Produkte oder Dienstleistungen anbietet, ist eingeladen, diese vorzustellen. Dabei umfasst die Begrifflichkeit „Anbieter“ sowohl Personen, die sich als Frauen oder Männer identifizieren, als auch jene, die sich außerhalb dieser beiden traditionellen Geschlechtskategorien bewegen oder eine nicht-binäre Identität haben. Diese Vielfalt spiegelt sich in den Angeboten wider und bietet für alle Geschlechtsidentitäten ansprechende Optionen."
25,Das Angebot der Anbieterperson umfasst eine Vielzahl von Produkten,"'Das Angebot der Person, die als Anbieter*in tätig ist, umfasst eine Vielzahl von Produkten, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert. Dieses Angebot richtet sich an eine diverse Kundschaft, die unterschiedliche Präferenzen und Bedürfnisse hat.'"
26,Gegenüber respektiert man die Meinungen und Bedürfnisse anderer.,"Gegenüber wird ein respektvoller Umgang gepflegt, der die Meinungen und Bedürfnisse aller Menschen berücksichtigt, unabhängig von deren Geschlechtsidentität oder Geschlechtszugehörigkeit. Dies umfasst sowohl Personen, die sich traditionell als Frauen oder Männer identifizieren, als auch diejenigen, die sich als nicht-binär, genderqueer oder in anderer Weise außerhalb der traditionellen Kategorien definieren. Die Wertschätzung für individuelle Perspektiven und die Anerkennung der Vielfalt menschlicher Erfahrungen stehen im Mittelpunkt."
27,"AnfängerInnen sollten sich nicht scheuen, nach Rat zu fragen.","Anfängerinnen, Anfänger, und alle anderen Personen, die sich in der Rolle eines Neu- oder Wiedereinsteigers befinden, unabhängig von ihrer Geschlechtsidentität oder ihrem Geschlecht, sollten sich nicht scheuen, nach Rat zu fragen und Unterstützung zu suchen, um ihre Fähigkeiten zu verbessern und ihre Fragen zu klären."
28,... Das Angebot richtet sich an AnfängerInnen und Fortgeschrittene.,"Das Angebot richtet sich an Personen, die sich auf unterschiedlichen Erfahrungsstufen im jeweiligen Bereich befinden. Dazu zählen Anfängerinnen, Anfänger und alle weiteren Menschen, die möglicherweise neu in diesem Bereich sind oder noch nicht viel Erfahrung haben, sowie Fortgeschrittene, also jene, die bereits über ein gewisses Maß an Wissen und Fähigkeiten verfügen. Es ist für alle Geschlechtsidentitäten offen, sodass jede Person, unabhängig von ihrem individuellen Verständnis von Geschlecht, herzlich eingeladen ist, an diesem Angebot teilzunehmen."
29,Dier Anführer/in setzt klare Ziele für das Team. ,"Die Person, die die Führungsrolle im Team innehat, unabhängig davon, ob sie sich als Anführer, Anführerin oder mit einer anderen Geschlechtsidentität identifiziert, setzt klare Ziele für das Team, um sicherzustellen, dass alle Mitglieder, gleich welchen Geschlechts oder welcher Geschlechtsidentität, miteinander arbeiten und auf ein gemeinsames Ziel hinarbeiten können."
30,Dier Angehörige unterstützt deren liebsten Menschen in schwierigen Zeiten,"Die Angehörigen, die enge Verbindungen zu ihren liebsten Menschen pflegen und diese Personen in schwierigen Zeiten unterstützen, können dabei unabhängig von ihrer Geschlechtsidentität, sei es als Frau, Mann oder in einer anderen Geschlechtsidentität, oft Trost und Beistand bieten. Diese Unterstützung eignet sich für alle, die Hilfe benötigen, unabhängig davon, wie sie sich selbst in Bezug auf Geschlecht und Identität verstehen."
31,Dier Angeklagte bestreitet deren Schuld vehement.,"Die Person, die des Verbrechens beschuldigt wird und sich in diesem Kontext als Angeklagte identifiziert, bestreitet ihre Schuld mit Nachdruck und möchte damit zum Ausdruck bringen, dass sie sich nicht mit den Vorwürfen einverstanden erklärt, unabhängig davon, wie diese Person sich bezüglich Geschlecht und Geschlechtsidentität versteht."
32,Dey fühlt sich durch die Diskussion persönlich angesprochen.,"'Die Person, die die Diskussion verfolgt und sich in dieser angesprochen fühlt, unabhängig von ihrer Geschlechtsidentität oder ihrer individuellen Erfahrungen, hat sich durch die Inhalte und Themen der Diskussion persönlich berührt gefühlt.'"
33,Dier Angler/in genießt die Ruhe am Seeufer.,"Die Person, die angelt und sich auf unterschiedliche Weise mit der Angelfachgemeinde identifiziert, sei es als Angler, Anglerin oder mit einer anderen Geschlechtsidentität, genießt die Ruhe und die friedliche Atmosphäre am Ufer des Sees, während sie in der Natur entspannt und der beruhigenden Umgebung nachgeht."
34,"Dier Angreifer_in sollte lernen, deren Wut zu kontrollieren","Die Person, die als Angreifer:in wahrgenommen wird, sollte lernen, ihre Wut zu kontrollieren, ohne dass es eine Rolle spielt, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, und unabhängig davon, welche emotionalen Herausforderungen sie möglicherweise erlebt."
35,"Angreifende werden oft von deren eigenen Ängsten getrieben.
","Angreifende Personen, unabhängig von ihrer Geschlechtsidentität oder dem jeweiligen Hintergrund, handeln oft aus einer Vielzahl von inneren Ängsten und Unsicherheiten heraus, die sie möglicherweise empfinden. Diese Ängste können tief verwurzelt sein und reichen über individuelle Erfahrungen bis hin zu gesellschaftlichen Einflüssen, die das Verhalten der betreffenden Person beeinflussen."
36,Die Anhänger:in unterstützen ihr Team bei jedem Spiel. ,"Die Personen, die das Team unterstützen, seien es engagierte Fans, Unterstützerinnen, Unterstützer oder Menschen, die sich mit einer anderen Geschlechtsidentität identifizieren, setzen sich mit viel Begeisterung und Leidenschaft für ihr Team bei jedem Spiel ein."
37,Die Anklägerin erhebt schwere Vorwürfe.,"Die Person, die als Anklägerin auftritt und die Verantwortung für die Erhebung schwerwiegender Vorwürfe trägt, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, bringt ernsthafte Anschuldigungen vor."
38,Dier Anleger*in legt großen Wert auf ein gepflegtes Äußeres. ,"Die Person, die in finanzielle Anlagen investiert, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, legt großen Wert auf ein gepflegtes Äußeres und achtet darauf, dass ihr Erscheinungsbild ansprechend und der jeweiligen Situation angemessen ist."
39,"Dier Anlieger_in freute sich über neue Baugenehmigungen, damit das Viertel wachsen kann.","Die Person, die an der betreffenden Adresse ansässig ist und sich möglicherweise als Angehörige einer Vielzahl von Geschlechtsidentitäten versteht, freute sich über die neuen Baugenehmigungen, die es ermöglichen werden, dass das Viertel sich weiterentwickeln und wachsen kann, um den Bedürfnissen seiner vielfältigen Gemeinschaft gerecht zu werden."
40,Die Anlieger_innen der Straße protestierten gegen den geplanten Bau.,"Die Personen, die an der betreffenden Straße wohnen oder dort wohnhaft sind, und die sich in ihrer Geschlechtsidentität als Frau, Mann oder in einer anderen Form identifizieren, protestierten gegen den geplanten Bau. Diese Gruppe umfasst sowohl Anliegerinnen und Anlieger als auch alle weiteren Menschen, die sich mit unterschiedlichen Geschlechtsidentitäten identifizieren und ein Interesse an den Veränderungen in ihrer Nachbarschaft haben."
41,Dier Anrainer:in der Baustelle wurde über die Lärmbelästigung informiert.,"Die Person, die in der Nähe der Baustelle wohnt oder die dortige Anrainerin oder Anrainer ist, unabhängig davon, ob diese Person sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, wurde über die Lärmbelästigung informiert."
42,Dier Anrufer:in meldete einen Notfall.,"Die Person, die anruft und einen Notfall meldet, kann sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifizieren. Unabhängig von der spezifischen Geschlechtsidentität, die diese Person für sich wählt oder die ihr zugeordnet wird, hat sie eine Situation als dringend und besorgniserregend eingeschätzt und die entsprechenden Maßnahmen ergriffen, um Hilfe zu leisten und die notwendigen Rettungsdienste zu alarmieren."
43,Dier Ansprechpartner_in für technische Fragen ist sehr freundlich.,"Die Person, die als Ansprechpartner:in für technische Fragen fungiert und sich möglicherweise als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, ist sehr freundlich und hilfsbereit."
44,Die antisemitisch eingestellte Person verbreitete hasserfüllte Ansichten.,"Die Person, die eine antisemitische Einstellung hat, verbreitete hasserfüllte Ansichten, unabhängig davon, wie sie sich in Bezug auf Geschlecht, Geschlechtsidentität oder sexuelle Orientierung identifiziert. Diese hasserfüllten Ansichten sind schädlich und betreffen alle Individuen, die sich als jüdisch identifizieren oder anderweitig von dieser diskriminierenden Haltung betroffen sind, sowie alle Menschen, die sich gegen jegliche Form von Diskriminierung und Hass aussprechen."
45,Die beantragende Person füllte alle notwendigen Formulare aus.,"Die Person, die den Antrag gestellt hat, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, hat alle erforderlichen Formulare ausgefüllt. Diese Person könnte verschiedene Geschlechtsidentitäten repräsentieren, und es ist wichtig zu betonen, dass sämtliche Antragsstellenden, gleichgültig wie sie sich selbst wahrnehmen oder definieren, die gleichen Anforderungen erfüllen müssen, um den Antrag erfolgreich einzureichen."
46,... Antragsteller*innen werden in Kürze benachrichtigt.,"Die Personen, die einen Antrag gestellt haben, unabhängig davon, ob sie sich als Antragsteller, Antragstellerin oder mit einer anderen Geschlechtsidentität identifizieren, werden in Kürze benachrichtigt."
47,Die Rechtsvertretung gewann fast alle Prozesse vor Gericht.,"Die Rechtsvertretung, bestehend aus Anwältinnen, Anwälten sowie allen anderen Personen, die in der juristischen Praxis tätig sind und sich mit unterschiedlichen Geschlechtsidentitäten identifizieren, hat fast alle Prozesse vor Gericht gewonnen."
48,Dier Anwender_in der Software war mit der Oberfläche sehr zufrieden.,"Die Person, die die Software nutzt und sich mit verschiedenen Geschlechtsidentitäten identifizieren kann, war mit der Benutzeroberfläche der Software sehr zufrieden, unabhängig davon, ob diese Person sich als Mann, Frau, nicht-binär oder mit einer anderen Geschlechtsidentität versteht."
49,Die Anwender_innen der neuen Programme sehnten sich nach den alten zurück.,"Die Personen, die die neuen Programme nutzen und sich in Bezug auf ihr Geschlecht als Frauen, Männer oder einer anderen Geschlechtsidentität betrachten, hegen den Wunsch, zu den alten Programmen zurückzukehren."
50,Die Schulung war sehr anwender/inbezogen und praktisch.,"Die Schulung war sehr auf die Bedürfnisse und Erfahrungen der Teilnehmenden ausgerichtet und bot praktische Übungen, die für alle Personen, unabhängig von ihrer Geschlechtsidentität – sei es männlich, weiblich oder nicht-binär, sowie für alle anderen Individuen, die sich in einem breiteren Spektrum von Geschlechtsidentitäten identifizieren – zugänglich und ansprechend waren."
51,Die Anwohner_innen beschwerten sich über den Baustellenlärm.,"Die Personen, die in der Umgebung wohnen, unabhängig davon, ob sie sich als Anwohner, Anwohnerinnen oder mit einer anderen Geschlechtsidentität identifizieren, haben sich über den Lärm, der durch die Baustelle verursacht wird, beschwert."
52,Die approbierte pharmazeutische Fachkraft beriet kompetent zu den Medikamenten.,"Die Person, die als approbierte pharmazeutische Fachkraft tätig ist, und dabei unabhängig von ihrer Geschlechtsidentität, sei es als Frau, Mann oder einer anderen Identität, beriet kompetent zu den Medikamenten. Diese Fachkraft bringt das nötige Wissen und die Erfahrung mit, um Informationen und Ratschläge zu geben, die für alle Menschen hilfreich sind, unabhängig von deren individuellen Identitäten oder Bedürfnissen."
53,... Fragen Sie IhreN ÄrztIn oder ApothekerIn.,"'Bitte wenden Sie sich an eine Person, die in der medizinischen oder pharmazeutischen Fachrichtung tätig ist, egal ob diese Person sich als Arzt, Ärztin oder in einer anderen Geschlechtsidentität versteht, sowie an eine Person, die in einer Apotheke arbeitet, unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität identifiziert, um Ihre Fragen zu klären.'"
54,Dier Arbeiter*in schuftete den ganzen Tag auf der Baustelle.,"Die Person, die als Arbeiter auf der Baustelle tätig ist, hat den ganzen Tag über hart gearbeitet und geschuftet, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert. Diese Person könnte beispielsweise eine Person sein, die sich als nicht-binär, genderqueer oder auf andere Weise jenseits der traditionellen Geschlechterkategorien versteht."
55,"Die Arbeiter/innen legten eine Pause ein, um sich zu stärken.","Die Personen, die in verschiedenen Arbeitsbereichen tätig sind und sich dabei als Arbeiter, Arbeiterinnen oder mit einer anderen Geschlechtsidentität identifizieren, legten eine Pause ein, um sich körperlich und geistig zu stärken und neue Energie zu tanken, unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität definieren."
56,"Mein Elternteil hat kommt von der arbeitenden Klasse. Ich bin die erste Person, die studiert hat in der Familie.","Mein Elternteil, der einer Person angehört, die sich aufgrund ihrer sozialen Herkunft der arbeitenden Klasse identifiziert, kommt aus einem Umfeld, in dem Bildung nicht immer als selbstverständlich angesehen wurde. Ich bin die erste Person in meiner Familie, unabhängig von Geschlechtsidentität oder -ausdruck, die die Möglichkeit und die Entscheidung getroffen hat, eine akademische Ausbildung zu verfolgen und zu studieren. Diese Tatsache stellt einen bedeutenden Schritt in der Geschichte meiner Familie dar und zeigt, wie sich Bildungsmöglichkeiten über Generationen hinweg entwickeln können."
57,Dier Arbeitgeber*in bietet deren Angestellten flexible Arbeitszeiten an.,"Der Arbeitgeber oder die Arbeitgeberin, sowie alle Personen, die in einer leitenden Position innerhalb des Unternehmens tätig sind, bieten deren Angestellten, unabhängig davon, ob sie sich als Frauen, Männer oder mit einer anderen Geschlechtsidentität identifizieren, flexible Arbeitszeiten an, um eine bessere Vereinbarkeit von Berufs- und Privatleben für alle Mitarbeitenden zu ermöglichen."
58,Viele Arbeitgebende schätzen Pünktlichkeit und Zuverlässigkeit.,"Viele Personen, die in der Rolle der Arbeitgebenden tätig sind, unabhängig davon, ob sie sich als Frauen, Männer oder mit einer anderen Geschlechtsidentität identifizieren, schätzen Pünktlichkeit und Zuverlässigkeit bei ihren Mitarbeitenden. Diese Eigenschaften werden von Arbeitgeberinnen, Arbeitgebern und allen anderen, die Führungspositionen innehaben oder Verantwortung für die Beschäftigten übernehmen, hoch angesehen."
59,"Das ist ein Aspekt, der für deren spätere Arbeitgeber/innen interessant ist.","Das ist ein Aspekt, der für zukünftige Arbeitgeber, Arbeitgeberinnen und alle anderen Personen oder Institutionen, die in der Lage sind, Anstellungsmöglichkeiten zu bieten, unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität, von Interesse sein könnte."
60,Dier Arbeitnehmer_in forderte bessere Arbeitsbedingungen.,"Die Person, die als Arbeitnehmer oder Arbeitnehmerin tätig ist und sich möglicherweise auch mit einer anderen Geschlechtsidentität identifiziert, hat bessere Arbeitsbedingungen gefordert. Diese Forderung gilt für alle Menschen, die im Arbeitsverhältnis stehen, unabhängig davon, ob sie sich als männlich, weiblich oder nicht-binär identifizieren, sowie für diejenigen, die sich in einem Geschlechtsidentitätspektrum bewegen, das über die traditionellen Kategorien hinausgeht."
61,Der Personalvorsitz verhandelte mit den ArbeitnehmerInnen über die neuen Verträge.,"Die Person, die den Vorsitz im Personalrat oder in der Personalvertretung innehat, verhandelte mit den Arbeitnehmerinnen, Arbeitnehmern sowie allen anderen Personen, die in der Organisation beschäftigt sind und sich mit unterschiedlichen Geschlechtsidentitäten identifizieren, über die neuen Verträge."
62,Mein/e Arbeitskolleg/in half mir bei einem schwierigen Projekt.,"Die Person, mit der ich zusammenarbeite und die mir bei einem herausfordernden Projekt zur Seite gestanden hat, ist unabhängig von ihrer Geschlechtsidentität, sei es als Mann, Frau oder in einer anderen Form, die sie für sich wählt, eine wertvolle Unterstützung für mich gewesen."
63,... Anna und Peter sind Arbeitskolleg_innen.,"Anna und Peter sowie alle weiteren Personen, die im selben Berufsfeld tätig sind und sich auf unterschiedliche Weisen mit ihrer Geschlechtsidentität identifizieren, sind Arbeitskolleginnen, Arbeitskollegen und Kolleg*innen. Dabei berücksichtigen wir die Vielfalt der Geschlechtsidentitäten, die über traditionelle Kategorien wie männlich und weiblich hinausgehen, einschließlich, aber nicht beschränkt auf nicht-binäre, genderqueere und trans Personen."
64,Die Architekt/innen arbeiteten gemeinsam an dem großen Bauprojekt.,"Die Personen, die als Architekten und Architektinnen tätig sind, sowie alle weiteren Fachleute aus dem Bereich der Architektur, unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität definieren, arbeiteten gemeinsam an dem großen Bauprojekt."
65,Dier Archivar:in sortierte die alten Dokumente im Stadtarchiv.,"Die Person, die in der Funktion eines Archivars oder einer Archivarin tätig ist, also diejenige, die dafür verantwortlich ist, die alten Dokumente im Stadtarchiv zu sortieren und zu verwalten, unabhängig davon, ob sie sich als Mann, Frau oder einer anderen Geschlechtsidentität identifiziert, hat diese Aufgabe übernommen."
66,Die ArchivarInnen bewahren historische Manuskripte auf.,"Die Personen, die in der Archivarbeit tätig sind und sich in diesem Kontext als Archivare oder Archivaren identifizieren, sowie alle anderen Menschen, unabhängig von ihrer Geschlechtsidentität – seien sie Frauen, Männer oder Nicht-binäre, genderqueere Personen oder anderen Geschlechtsidentitäten – bewahren historische Manuskripte auf."
67,Die Person im ärztlichen Dienst diagnostizierte die Krankheit schnell und genau.,"Die Person, die im medizinischen Bereich tätig ist und als Arzt, Ärztin oder mit einer anderen Geschlechtsidentität arbeitet, stellte schnell und präzise die Diagnose der Krankheit fest. Damit sind sowohl Personen eingeschlossen, die sich traditionell als weiblich oder männlich identifizieren, als auch solche, die sich möglicherweise als nicht-binär, genderqueer oder mit einer anderen Geschlechtsidentität identifizieren. Der Fachmann oder die Fachfrau hat dazu beigetragen, sicherzustellen, dass die medizinische Versorgung für alle Patient:innen, unabhängig von deren Geschlechtsidentität, von hoher Qualität ist."
68,"... Um an unserer Klinik im ärztlichen Dienst arbeiten zu können, müssen Sie die Approbation im Original vorlegen.","Um an unserer Klinik im ärztlichen Dienst arbeiten zu können, müssen alle Personen, die sich für eine Tätigkeit in diesem Bereich interessieren, unabhängig von ihrer Geschlechtsidentität, die Approbation im Original vorlegen. Dies gilt für Menschen, die sich als Frauen, Männer sowie für diejenigen, die nicht-binär sind oder sich mit anderen Geschlechtsidentitäten identifizieren. Wir begrüßen Vielfalt in unserem Team und möchten sicherstellen, dass sich alle angesprochen fühlen."
69,Die ÄrztInnen im Krankenhaus arbeiten rund um die Uhr.,"Die Personen, die als Ärztinnen, Ärzte und in sonstigen medizinischen Berufen im Krankenhaus tätig sind, einschließlich aller Individuen, die sich mit unterschiedlichen Geschlechtsidentitäten identifizieren oder möglicherweise nicht den traditionellen geschlechtlichen Kategorien entsprechen, arbeiten rund um die Uhr, um die bestmögliche Versorgung für ihre Patientinnen und Patienten sowie für alle, die medizinische Hilfe benötigen, sicherzustellen."
