index,gendered,inclusive_form
1376,Dier Pächter_in renovierte das alte Gebäude.,"Die Person, die das alte Gebäude gepachtet hat und für dessen Renovierung verantwortlich ist, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, hat das Gebäude renoviert."
853,JedeR MitarbeiterIn kam pünktlich.,"Alle Personen, die in unserem Unternehmen als Mitarbeiterinnen, Mitarbeiter oder mit einer anderen Geschlechtsidentität tätig sind, kamen pünktlich. Dies schließt sowohl diejenigen ein, die sich als Frauen oder Männer identifizieren, als auch diejenigen, die sich außerhalb der traditionellen Geschlechtskategorien verorten oder sich mit nicht-binären, genderfluiden oder anderen Identitäten identifizieren."
1751,Dier TänzerIn beeindruckte das Publikum mit deren atemberaubenden Choreografie.,"Die Person, die als Tänzerin, Tänzer oder in einer anderen Geschlechtsidentität wahrgenommen wird und die auf der Bühne tanzt, beeindruckte das Publikum mit einer atemberaubenden Choreografie, die viel Kreativität und Ausdruckskraft demonstriert. Diese Person kann sich als Frau, Mann oder in einer nicht-binären, genderqueeren oder einer anderen Geschlechtsidentität definieren und schafft es, die Zuschauerinnen, Zuschauer und alle weiteren Anwesenden durch ihre Kunst zu fesseln."
1929,Seit unserer Kindheit ist dey meine treue WegbegleiterIn.,"Seit unserer Kindheit ist die Person, die mir als treue Wegbegleiterin oder -begleiter zur Seite steht, unabhängig davon, wie sie sich geschlechtlich identifiziert, sei es als Frau, Mann oder mit einer anderen Geschlechtsidentität, ein wichtiger Teil meines Lebens."
592,Die dem Faschismus anhängende Person verbreitete gefährliche Ideologien.,"Die Person, die faschistischen Ideologien anhängt und möglicherweise unterschiedlichste Geschlechtsidentitäten hat, verbreitet gefährliche und schädliche Überzeugungen, die nicht nur mehrere gesellschaftliche Gruppen, sondern auch die Werte der Vielfalt und des respektvollen Miteinanders in der Gesellschaft gefährden. Es ist wichtig, die vielfältigen Perspektiven und Identitäten anzuerkennen, während wir über die Auswirkungen solcher Ideologien diskutieren."
1496,Die Referierenden hielten informative Vorträge.,"Die Personen, die Vorträge halten und ihr Wissen mit anderen teilen, unabhängig davon, ob sie sich als Männer, Frauen oder mit einer anderen Geschlechtsidentität identifizieren, haben informative Präsentationen gegeben, die wertvolle Einblicke und Informationen für das Publikum boten."
841,Die Inlineskatenden trugen Schutzkleidung.,"Die Personen, die Inline-Skating ausüben, unabhängig davon, ob sie sich als Frauen, Männer, nicht-binär, genderqueer oder mit einer anderen Geschlechtsidentität identifizieren, trugen Schutzkleidung, um sich während ihrer Aktivität zu schützen."
1310,Dier Oberärzt:in leitet die chirurgische Abteilung.,"Die Person, die die Position der Oberärztin oder des Oberarztes innehat, sowie alle weiteren Personen mit vergleichbaren Qualifikationen und Erfahrungen in der chirurgischen Abteilung, ganz gleich, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität definieren, leitet die chirurgische Abteilung."
884,Die Käufer_innen durchsuchten die Regale nach den besten Angeboten und füllten ihre E_inkaufswagen mit den benötigten Waren.,"Die Personen, die Einkäufe tätigen und sich als Käuferinnen, Käufer oder mit einer anderen Geschlechtsidentität verstehen, durchsuchten die Regale nach den besten Angeboten. Sie füllten ihre Online-Einkaufswagen mit den benötigten Waren, unabhängig von ihrer Geschlechtsidentität oder anderen individuellen Merkmalen."
276,Die Bauträger*innen waren überfordert mit der größe des neuen Bauprojektes.,"Die Personen, die als Bauträgerinnen, Bauträger oder unter anderen Geschlechtsidentitäten arbeiten und sich mit der Verantwortung für Bauprojekte befassen, waren überfordert mit der Größe des neuen Bauprojekts. Dies schließt alle ein, die in der Rolle der Planung, Umsetzung und Koordination solcher Bauvorhaben tätig sind, unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität definieren."
631,Die Wahl der Fachärzt*inrichtung fiel auf Kardiologie.,"Die Entscheidung für die Facharztpraxis oder Fachärztin, die sich auf das Gebiet der Kardiologie spezialisiert hat, wurde getroffen. Dabei beziehen sich die Personen, die diese Wahl getroffen haben, sowohl auf Fachärztinnen, Fachärzte als auch auf alle anderen medizinischen Fachkräfte, die in diesem Bereich tätig sind und sich mit verschiedenen Geschlechtsidentitäten identifizieren."
615,Dier FremdsprachlerIn beherrschte mehrere Sprachen fließend.,"Die Person, die die Fähigkeit hat, mehrere Sprachen fließend zu sprechen und sich als Fremdsprachler oder Fremdsprachlerin identifiziert oder sich möglicherweise mit einer anderen Geschlechtsidentität versteht, beherrscht zahlreiche Sprachen mit großer Leichtigkeit."
785,Ein verlassener Koffer sorgte für Chaos am Bahnhof.,"Ein Koffer, der anscheinend von einer Person, die möglicherweise aus verschiedenen Gründen den Bahnhof verlassen hat oder nicht mehr zurückgekehrt ist, zurückgelassen wurde, sorgte für ein unerwartetes Durcheinander und eine chaotische Situation am Bahnhof, während die Anwesenden, unabhängig von ihrer Geschlechtsidentität, versuchten, den Umständen gerecht zu werden und mögliche Sicherheitsbedenken zu klären."
1509,Dier RangerIn führte durch den Nationalpark und erklärte die Naturphänomene.,"Die Person, die als Ranger oder Rangerin arbeitet und durch den Nationalpark führt, erklärt dabei die verschiedenen Naturphänomene. Diese Person kann sich sowohl als Mann, Frau, nicht-binär, genderfluid oder mit anderen Geschlechtsidentitäten identifizieren. Sie teilt ihr Wissen über die Natur auf eine zugängliche und informative Weise, um Besucher und Besucherinnen aller Geschlechtsidentitäten zu begeistern und zu informieren."
969,Dier Künstler:in stellte deren neuen Werke in der Galerie aus.,"Die Künstlerinnen, Künstler sowie alle weiteren Personen, die sich als Künstler oder Künstlerin identifizieren oder sich mit einer anderen Geschlechtsidentität verstehen, stellten ihre neuen Werke in der Galerie aus."
203,Das Bauarbeiten ausführende (Fach-)Personal errichtet Gebäude.,"Die Fachkräfte, die mit den Bauarbeiten betraut sind, einschließlich aller Personen, unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität, die in diesem Bereich tätig sind, errichten Gebäude. Dazu gehören sowohl Personen, die sich als Frauen oder Männer identifizieren, als auch diejenigen, die sich außerhalb dieser binären Kategorien definieren oder eine nicht traditionelle Geschlechtsidentität haben. Sie alle tragen zu den baulichen Projekten bei und bringen unterschiedliche Perspektiven und Erfahrungen in ihre Arbeit ein."
409,"Dier Dahergelaufene sah aus, als wäre dey den ganzen Tag durch den Regen gelaufen.","'Die Person, die zufällig vorbeigekommen ist, und die möglicherweise unterschiedliche Geschlechtsidentitäten hat oder sich außerhalb der traditionellen Geschlechterkategorien identifiziert, sah aus, als hätte sie den ganzen Tag über im Regen gestanden und wäre durch nasse Straßen gelaufen.'"
613,Dier Freigeber/in stellte deren Arbeit unter einer offenen Lizenz zur Verfügung.,"Die Person, die die Freigabe für die betreffende Arbeit erteilt hat, stellt diese Arbeit unter einer offenen Lizenz zur Verfügung, unabhängig davon, ob sie sich als männlich, weiblich oder mit einer anderen Geschlechtsidentität identifiziert. Diese Entscheidung kann von einer Person getroffen werden, die als Freigeber oder Freigeberin fungiert, sowie von weiteren Individuen, die sich nicht strikt an den traditionellen Geschlechtskategorien orientieren und die die Arbeit im Rahmen der Lizenzbedingungen zugänglich machen möchten."
1887,Die Vertreter*innen der Presse versammelten sich vor dem Gericht.,"Die Personen, die die Presse vertreten und in verschiedenen journalistischen Rollen tätig sind, darunter Journalistinnen, Journalisten sowie alle weiteren Personen, die sich in diesem Bereich betätigen und sich mit unterschiedlichen Geschlechtsidentitäten identifizieren, versammelten sich vor dem Gericht, um Berichterstattung zu leisten und über die aktuellen Geschehnisse zu informieren."
1741,"Die studienabbrechende Person entschied sich, das Studium abzubrechen und eine Ausbildung im Handwerk zu beginnen.","Die Person, die ihr Studium abgebrochen hat, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, entschied sich, das Studium zu beenden und eine Ausbildung im Handwerk zu beginnen. Diese Entscheidung spiegelt die individuelle Lebenssituation und die beruflichen Ambitionen wider, die von verschiedenen Identitäten und Erfahrungen geprägt sind."
690,Dier Gerichtsvollzieher_in überbrachte die amtlichen Dokumente.,"Die Person, die als Gerichtsvollzieherin oder Gerichtsvollzieher tätig ist und die amtlichen Dokumente überbrachte, kann sich in Bezug auf Geschlecht und Geschlechtsidentität sowohl als Frau, Mann, als auch als jemand mit einer nicht-binären oder anderen Geschlechtsidentität verstehen und legt damit das Ergebnis ihrer professionellen Tätigkeit in die Hände der Zustellung von wichtigen amtlichen Informationen."
511,In der Versammlung der Beteiligten am Wohneigentum wurden wichtige Beschlüsse gefasst.,"In der Versammlung aller beteiligten Personen, die am Wohneigentum interessiert sind oder darauf einen Einfluss haben, darunter sowohl Personen, die sich als Frauen, Männer und nicht-binär oder mit einer anderen Geschlechtsidentität verstehen, wurden bedeutende Beschlüsse gefasst, die die gemeinsame Verwaltung und Nutzung des Eigentums betreffen."
827,Dier InspekteurIn überprüfte die Sicherheitsstandards in der Fabrik.,"Die Person, die die Inspektion durchführt und für die Überprüfung der Sicherheitsstandards in der Fabrik verantwortlich ist, unabhängig davon, ob sie sich als männlich, weiblich oder mit einer anderen Geschlechtsidentität identifiziert, hat diese wichtigen Kontrollen vorgenommen."
1032,Die Fachunkundigen im Publikum stellten viele interessante Fragen.,"Die Personen im Publikum, die über Fachwissen und Expertise in ihrem jeweiligen Gebiet verfügen, stellten viele interessante Fragen, unabhängig davon, ob sie sich als Fachkundigen, Fachkundigen, Branchenexperten, Expertinnen oder mit einer anderen Geschlechtsidentität identifizieren."
1664,"Dier Schläger:intyp:in in der Bar war bekannt dafür, Konflikte gewaltsam zu lösen.","Die Person, die in der Bar als Schläger:in wahrgenommen wird und als solche bekannt ist, dafür, Konflikte gewaltsam zu lösen, unabhängig von ihrem Geschlecht, ihrer Geschlechtsidentität oder den damit verbundenen Ausdrücken, war dafür bekannt, dass sie Auseinandersetzungen nicht auf eine gewaltfreie Weise, sondern durch physische Konfrontationen zu klären sucht. Diese Wahrnehmung bezieht sich auf eine Vielzahl von möglichen Geschlechtsidentitäten, sei es, dass diese Person sich als Mann, Frau oder nicht-binär identifiziert oder sich anderweitig außerhalb der traditionellen Geschlechterkategorien positioniert."
427,"Dier Schauspieler/in hatte eine/n Doppelgänger/in, dier dem zum Verwechseln ähnlich sah.","Die Person, die in der Rolle eines Schauspielers oder einer Schauspielerin tätig ist, hatte eine Person, die als Doppelgänger oder Doppelgängerin gilt und die so ähnlich war, dass es kaum Unterschiede zu erkennen waren. Dies schließt alle Personen ein, die sich als Schauspieler*in identifizieren, unabhängig von Geschlecht oder Geschlechtsidentität, sowie alle, die sich möglicherweise außerhalb der traditionellen Kategorien identifizieren."
1686,Dier SchützInkönigIn wurde beim traditionellen Fest feierlich gekrönt.,"Die Person, die die Rolle der Schützinkönigin oder des Schützinkönigs einnimmt, sowie alle weiteren Personen, die sich in dieser Funktion sehen oder sich mit einer anderen Geschlechtsidentität identifizieren, wurde beim traditionellen Fest feierlich gekrönt. Diese Feierlichkeit ehrt die Vielfalt der Geschlechtsidentitäten und würdigt die Tätigkeit derjenigen, die in dieser Rolle Verantwortung übernehmen und zur Gemeinschaft beitragen."
1709,Die Spieler/ingruppen traten in verschiedenen Disziplinen gegeneinander an.,"Die Gruppen von Personen, die in den verschiedenen Disziplinen des Spiels aktiv sind und sich als Spieler, Spielerinnen oder mit einer anderen Geschlechtsidentität definieren, traten in einer Vielzahl von Wettkämpfen gegeneinander an. Dabei sind sowohl Menschen, die sich traditionell als männlich oder weiblich identifizieren, als auch jene, die sich als nicht-binär, genderqueer oder mit anderen Geschlechtsidentitäten identifizieren, in die Wettkämpfe eingebunden."
265,Heute bei meinem Termin war dier Bürokrat*in überraschend hilfreich und flexibel. Normalerweise habe ich keine guten Erfahrungen bei meinen Terminen dort.,"Heute bei meinem Termin war die Person, die im Büro tätig ist und als Bürokrat*in fungiert, überraschend hilfreich und flexibel. In der Regel habe ich dort keine positiven Erfahrungen bei meinen Terminen gemacht, aber diese individuelle Person, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, hat sich besonders bemüht, mir zu helfen und auf meine Bedürfnisse einzugehen."
577,In der Fußgänger_inzone gibt es viele Geschäfte und Cafés.,"In der Fußgängerzone, einem Bereich, der für alle Fahrzeugarten gesperrt ist und wo Menschen in ihrer Freizeit spazieren gehen, einkaufen oder sich entspannen können, gibt es viele Geschäfte, die verschiedene Produkte und Dienstleistungen anbieten, sowie zahlreiche Cafés, die einladende Plätze zum Verweilen schaffen. Diese Fußgängerzone wird von Menschen aller Geschlechtsidentitäten frequentiert, einschließlich, aber nicht beschränkt auf Männer, Frauen und nicht-binäre sowie genderqueere Personen, die die Vielfalt an Geschäften und die Möglichkeiten zur Begegnung und Kommunikation schätzen."
1542,Dier Schriftsteller_in veröffentlichte deren neuen Roman.,"Die Person, die als Schriftsteller oder Schriftstellerin tätig ist und deren Geschlechtsidentität möglicherweise nicht den traditionellen Kategorien entspricht, hat ihren oder seinen neuen Roman veröffentlicht."
365,"Dey arbeitet als Chauffeurie, dey bringt immer all deren Kund/innen sicher ans Ziel","Dey, eine Person, die im Beruf als Fahrdienstleisterin, Fahrer oder in einem ähnlichen Bereich tätig ist, bringt stets alle deren Kundinnen, Kunden und weitere Personen, die möglicherweise eine andere Geschlechtsidentität haben oder nicht in die traditionellen Kategorien fallen, sicher an ihr Ziel."
1144,Dier Beschäftigte der Müllabfuhr leerte die Tonnen früh am Morgen.,"Die Personen, die in der Müllabfuhr tätig sind, haben in den frühen Morgenstunden die Mülltonnen geleert. Dabei handelt es sich um Menschen, die sich als Frauen, Männer oder mit einer anderen Geschlechtsidentität verstehen und ihre Arbeit in diesem wichtigen öffentlichen Dienst erfüllen."
471,Dier Ersteller_in des Dokuments hat einige wichtige Informationen hinzugefügt.,"Die Person, die das Dokument erstellt hat, hat einige wichtige Informationen hinzugefügt, ganz gleich, ob sie sich als Frau, Mann, nicht-binär oder mit einer anderen Geschlechtsidentität identifiziert."
413,Dier Delegierte vertrat unser Land bei der internationalen Konferenz.,"Die Person, die als Delegierte oder Delegierter unser Land bei der internationalen Konferenz vertreten hat, kann sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifizieren. Diese Person hat die Verantwortung wahrgenommen, die Interessen unseres Landes auf dieser bedeutenden internationalen Plattform zu vertreten und dabei eine Vielzahl von Perspektiven und Erfahrungen einzubringen, die die Vielfalt der Gesellschaft widerspiegeln."
1610,Die SchülerInzeitung berichtete über aktuelle Ereignisse an der Schule.,"Die Schülerzeitung, die von den Lernenden der Schule herausgegeben wird, berichtete über aktuelle Ereignisse an der Schule. Diese Lernenden umfassen sowohl Schülerinnen und Schüler als auch Personen, die sich nicht in die traditionellen Geschlechterrollen einordnen oder sich mit einer anderen Geschlechtsidentität identifizieren."
1231,Die Marktakteur_innen diskutierten über die zukünftige Preisgestaltung auf dem Markt.,"Die Personen, die als Marktakteurinnen, Marktakteure und sämtliche weiteren Menschen, die in den verschiedenen Bereichen des Marktes aktiv sind und sich mit unterschiedlichen Geschlechtsidentitäten identifizieren, gelten, haben eine Diskussion über die zukünftige Preisgestaltung auf dem Markt geführt."
1407,Dier Praktiker:in zeigte uns hilfreiche Tipps aus der Praxis.,"Die Person, die als Praktikerin oder Praktiker tätig ist und uns durch ihre Erfahrungen aus der praktischen Tätigkeit wertvolle Einsichten und hilfreiche Tipps zur Verfügung gestellt hat, ist in der Lage, ihr Wissen mit uns zu teilen. Diese Person kann sich in Bezug auf Geschlecht und Geschlechtsidentität als Frau, Mann oder als nicht-binär sowie in vielen weiteren Identitäten verstehen und trägt mit ihrem Fachwissen dazu bei, unsere Kenntnisse zu erweitern."
879,Dier Kapitän_in führte deren Team mit Entschlossenheit und Weitsicht in den Hafen.,"Die Person, die die Rolle des Kapitäns oder der Kapitänin innehat und sich möglicherweise auch mit einer nicht-binären oder anderen Geschlechtsidentität identifiziert, führte ihr Team mit großer Entschlossenheit und Weitsicht in den Hafen, wobei sie auf die unterschiedlichen Bedürfnisse und Perspektiven aller Teammitglieder Rücksicht nahm."
741,Kim ist deren eigene:r Herr*in.,"'Kim ist die Person, die für sich selbst sorgt und ihre eigenen Entscheidungen trifft, unabhängig von Geschlechtsidentität oder Geschlechtsausdruck. Diese individuelle Herrschaft ermöglicht es Kim, die eigene Identität zu definieren und in einem Raum voller Vielfalt und Akzeptanz zu leben.'"
1312,Der Obmensch leitete die Sitzung des Vereins.,"Die Person, die die Rolle des Obmenschen innehat und die Sitzung des Vereins leitet, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, hat die Verantwortung, verschiedene Perspektiven willkommen zu heißen und eine inklusive Atmosphäre zu fördern."
679,Die Gegenspieler_innen hatten wesentlich mehr Erfahrung in Wettkampfsituationen.,"Die Personen, die in dieser Wettkampfsituation als Gegenspielerinnen, Gegenspieler und alle weiteren Identitäten, die sich nicht mit den traditionellen Geschlechtskategorien Mann und Frau identifizieren, fungieren, hatten erheblich mehr Erfahrung in Wettkampfsituationen."
1541,Die Kinder bauten eine große Schneefigur im Garten.,"Die Kinder, die im Garten spielen und aus verschiedenen Geschlechtsidentitäten stammen, ob sie sich als Mädchen, Jungen oder gendernonkonform identifizieren, haben eine große Schneefigur erbaut."
1629,... Diskutiere mit deiner Sitznachbar_in.,"„Diskutiere mit der Person, die neben dir sitzt, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert. Diese Diskussion soll alle Geschlechtsidentitäten und -ausdrücke respektieren und einbeziehen.“"
1324,Tauscht euch mit eurer Partnerperson über den Text aus.,"'Tauscht euch mit der Person, die an eurer Seite als Partner*in agiert, sowie mit allen anderen Personen, die möglicherweise in einer Partnerschaft oder Zusammenarbeit mit euch stehen, über den Text aus. Dies umfasst alle Geschlechtsidentitäten, sodass sich sowohl Personen, die sich als Frau oder Mann identifizieren, als auch diejenigen, die sich außerhalb dieser binären Kategorien oder in verschiedenen Geschlechterrollen verstehen, in das Gespräch einbringen können.'"
505,Dier Erzähler:in hielt die Kinder mit spannenden Geschichten in Atem.,"Die Person, die die Geschichten erzählt, unabhängig davon, ob sie sich als Erzähler, Erzählerin oder mit einer anderen Geschlechtsidentität identifiziert, hielt die Kinder, die unterschiedlichen Geschlechtsidentitäten angehören, mit faszinierenden und spannenden Geschichten in Atem."
865,"Alle, die sich anmelden, bekommen ein kostenloses Ticket.","Folgendermaßen könnte der Satz ausführlicher und inklusiver umformuliert werden: 

""Alle Personen, die sich anmelden, unabhängig von ihrer Geschlechtsidentität oder geschlechtlichen Orientierung – einschließlich, aber nicht beschränkt auf Frauen, Männer, nicht-binäre Personen, genderqueere Menschen und andere Identitäten – erhalten ein kostenloses Ticket."""
1935,"Dier WiderstandskämpferIn riskierte deren Leben, um gegen das unterdrückende Regime zu kämpfen.","Die Person, die sich aktiv am Widerstand gegen das unterdrückende Regime beteiligt, riskierte ihr Leben, um für Freiheit und Gerechtigkeit zu kämpfen, unabhängig davon, ob sie sich als Widerstandskämpfer, Widerstandskämpferin oder mit einer anderen Geschlechtsidentität identifiziert."
602,Die Förder*innen unterstützten das Projekt finanziell.,"Die Personen, die das Projekt finanziell unterstützen, umfassen sowohl Förderer als auch Förderinnen sowie alle weiteren Individuen, die sich selbst außerhalb traditioneller Geschlechtskategorien identifizieren oder deren Geschlechtsidentität nicht eindeutig in diese Kategorien passt. Diese Vielfalt an Unterstützenden trägt dazu bei, das Projekt erfolgreich voranzubringen."
420,Die Leitung hielt eine Rede vor der gesamten Schule.,"Die Personen, die die Leitung der Schule innehaben, unabhängig davon, ob sie sich als Frauen, Männer oder mit einer anderen Geschlechtsidentität identifizieren, hielten eine Rede vor der gesamten Schulgemeinschaft, die aus Schülerinnen, Schülern und allen anderen Mitgliedern besteht, die sich mit verschiedenen Geschlechtsidentitäten identifizieren."
1084,Dey bewarb sich auf die freie Lektoratsstelle bei einem renommierten Verlag.,"Die Person namens Dey hat sich um die ausgeschriebene Position als Lektor*in bei einem angesehenen Verlag beworben. Diese Bewerbung erfolgt unabhängig davon, wie Dey sich in Bezug auf Geschlechtsidentität identifiziert, sei es als Mann, Frau oder in einer anderen Geschlechtsidentität."
877,"Im Amt des Regierungsoberhauptes wurden wichtige politische Entscheidungen getroffen, die das Land maßgeblich beeinflussten.","Im Amt der Person, die als Regierungsoberhaupt oder Regierungsoberhauptin fungiert, unabhängig davon, wie diese Person ihre Geschlechtsidentität definiert – sei es als Mann, Frau, nicht-binär oder auf andere Weise – wurden wichtige politische Entscheidungen getroffen, die das Land in bedeutender Weise beeinflussten. Diese Entscheidungen wurden von Personen getroffen, die unterschiedliche Hintergründe und Perspektiven einbringen, und die Vielfalt dieser Identitäten spielt eine wesentliche Rolle in dem politischen Prozess und den Auswirkungen auf die Gesellschaft."
224,Nur einE BerechtigteR kann auf diese sensiblen Daten zugreifen.,"'Nur eine Person, die das Recht hat, auf diese sensiblen Daten zuzugreifen, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, kann darauf zugreifen.'"
1743,Ein*e Subunternehmer*in erledigte die speziellen Bauarbeiten am Projekt.,"Eine Person, die als Subunternehmerin, Subunternehmer oder unter einer anderen Geschlechtsidentität arbeitet, hat die speziellen Bauarbeiten im Rahmen des Projekts erledigt. Diese Person könnte sich beispielsweise als nicht-binär, genderfluid oder einem anderen Geschlechtsidentitätsteilbereich zugehörig identifizieren und hat ihre Fähigkeiten und ihr Fachwissen eingesetzt, um die Aufgaben erfolgreich zu bewältigen."
985,Die engagierte Kindertagespflegeperson kümmerte sich liebevoll um die Kinder.,"Die engagierte Person, die in der Kindertagespflege tätig ist und sich um das Wohlbefinden der Kinder kümmert, unabhängig davon, ob sie sich als Frau, Mann, nicht-binär oder mit einer anderen Geschlechtsidentität identifiziert, sorgte liebevoll für die Kinder und förderte ihre Entwicklung in einer warmen und unterstützenden Umgebung."
21,"Dey ist ein/e Alkoholiker/in, dey hat sehr früh angefangen und ist abhängig geworden durch das ständige Trinken mit Arbeitskolleg/innen.","Dey ist eine Person, die mit Alkoholabhängigkeit zu kämpfen hat. Sie hat bereits in einem frühen Alter mit dem Trinken angefangen und ist durch das ständige Trinken im Rahmen von geselligen Zusammenkünften mit Kolleginnen, Kollegen und weiteren Personen, die in ihrem beruflichen Umfeld tätig sind, abhängig geworden. Dabei ist es wichtig zu betonen, dass Dey in Bezug auf ihre Geschlechtsidentität und die ihrer Trinkgemeinschaft nicht in traditionellen Kategorien festgelegt werden kann und sowohl weibliche, männliche als auch nicht-binäre Herzen an diesem Thema beteiligt sind."
1821,"Deren Unternehmer_innengeist und deren innovativen Ideen halfen dem Unternehmen, in kürzester Zeit zu wachsen und neue Märkte zu erschließen.","Der Unternehmergeist und die innovativen Ideen der Personen, die das Unternehmen führen, sowie aller, die an der Entwicklung und Umsetzung dieser Ideen beteiligt sind, unabhängig davon, ob sie sich als Frauen, Männer oder mit einer anderen Geschlechtsidentität identifizieren, haben dem Unternehmen geholfen, in kürzester Zeit zu wachsen und neue Märkte zu erschließen."
