gendered,male,female,enhanced,index
Ich bin AdministratorIn,Ich bin Administrator,Ich bin Administratorin,"Ich bin eine Person, die die Rolle eines Administrators oder einer Administratorin übernommen hat, unabhängig von meiner Geschlechtsidentität, sei es als Frau, als Mann oder als jemand mit einer anderen geschlechtlichen Identität, und ich übe die Aufgaben und Verantwortlichkeiten aus, die mit dieser Position verbunden sind.",10
Ohne die AdministratorInnen wären wir schon längst aufgeschmissen,Ohne die Administratoren wären wir schon längst aufgeschmissen,Ohne die Administratorinnen wären wir schon längst aufgeschmissen,"Ohne die Administratorinnen, Administratoren und Personen mit anderen geschlechtlichen Identitäten, die in der Rolle der Administration tätig sind, wären wir schon längst in einer schwierigen Situation oder hätten erhebliche Probleme, die ohne ihre Unterstützung nicht zu bewältigen wären.",11
Die Nachricht hat mich als Adressat/in,Die Nachricht hat mich als Adressat,Die Nachricht hat mich als Adressatin,"Die Nachricht hat mich als Person, die diese Nachricht erhält, unabhängig von meiner Geschlechtsidentität, sei es als Frau, Mann oder als jemand mit einer anderen geschlechtlichen Identität, angesprochen und erreicht.",12
Jasper steht unter Verdacht eine auskundschaftende Person zu sein,Jasper steht unter Verdacht ein Agent zu sein,Jasper steht unter Verdacht eine Agentin zu sein,"Jasper, eine Person, die sich in Bezug auf Geschlecht und Geschlechtsidentität als männlich identifizieren könnte, steht unter dem Verdacht, eine Person zu sein, die Informationen auskundschaftet. Dies könnte jedoch auch eine Person umfassen, die sich als weiblich oder als nicht-binär identifiziert, oder eine Person mit einer anderen geschlechtlichen Identität, welche die Absicht hat, Informationen heimlich zu beobachten oder zu sammeln.",13
Seit ich als Agent/in arbeite habe ich viel Freude daran zur Arbeit zu gehen.,Seit ich als Agent arbeite habe ich viel Freude daran zur Arbeit zu gehen,Seit ich als Agentin arbeite habe ich viel Freude daran zur Arbeit zu gehen.,"Seit ich in der Funktion als Agent, Agentin oder Person mit einer anderen geschlechtlichen Identität arbeite, habe ich viel Freude daran, zur Arbeit zu gehen. Diese positive Einstellung zur Arbeit spiegelt sich in meiner täglichen Motivation und meinem Engagement wider, unabhängig davon, wie ich oder andere sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",14
So Jin ist ein*e Akademiker*in,So Jin ist ein Akademiker ,So Jin ist eine Akademikerin,"So Jin ist eine Person, die sich im akademischen Bereich engagiert und studiert oder arbeitet, unabhängig davon, ob sie sich als Frau, als Mann oder als Person mit einer anderen geschlechtlichen Identität definiert.",15
Es gibt viele beteiligte Personen,Es gibt viele Akteure ,Es gibt viele Akteurinnen ,"Es gibt viele Personen, die an diesem Vorhaben beteiligt sind, unabhängig von deren Geschlechtsidentität. Dazu zählen Frauen, Männer und Menschen mit verschiedenen nicht-binären oder sich anderweitig identifizierenden Geschlechtsidentitäten, die aktiv zu diesem Projekt beitragen.",16
Person mit Aktieneigentum ist bei der Bank angestellt,Aktionär XX  ist bei der Bank angestellt,Aktionärin XX ist bei der Bank angestellt,"Eine Person, die Eigentum an Aktien besitzt, ist in einer Anstellung bei der Bank tätig, unabhängig von deren Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität.",17
Das Board ist gefüllt mit Aktien-/Anteilshabenden,Das Board ist gefüllt mit Aktionären,Das Board ist gefüllt mit Aktionärinnen.,"Das Board besteht aus Personen, die Aktien und/oder Anteile halten, darunter sowohl Frauen, Männer als auch Personen anderer geschlechtlicher Identitäten, die in der Lage sind, entsprechende Finanzinstrumente zu besitzen oder zu verwalten.",18
An den Unis gibt es immer ein:e Aktivist:in.,An den Unis gibt es immer einen Aktivist.,An den Unis gibt es immer eine Aktivistin.,"An den Universitäten gibt es immer eine Person, die sich aktiv für soziale, politische oder ökologische Belange engagiert, unabhängig von deren Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität, die sich als Aktivistin, Aktivist oder in einer anderen Bezeichnung, die ihr Engagement widerspiegelt, identifiziert.",19
An den Unis gibt es immer mehr als zwei Aktivist:innen.,An den Unis gibt es immer mehr als zwei Aktivisten.,An den Unis gibt es immer mehr als zwei Aktivistinnen.,"An den Universitäten gibt es immer mehr als zwei Personen, die sich aktiv für gesellschaftliche und politische Themen engagieren, unabhängig von ihrer Geschlechtsidentität, sei es eine Frau, ein Mann oder Personen mit anderen geschlechtlichen Identitäten, die sich als Aktivistinnen, Aktivisten oder in einer für sie passenden Bezeichnung identifizieren.",20
"Dey ist ein/e Alkoholiker/in, dey hat sehr früh angefangen und ist abhängig geworden durch das ständige Trinken mit Arbeitskolleg/innen.","Er ist ein Alkoholiker, er hat sehr früh angefangen und ist abhängig geworden durch das ständige Trinken mit Arbeitskollegen","Sie ist ein Alkoholikerin, sie hat sehr früh angefangen und ist abhängig geworden durch das ständige Trinken mit Arbeitskolleginnen","Dey ist eine Person, die mit einer Alkoholabhängigkeit kämpft, und hat diese Problematik schon in einem frühen Stadium ihres Lebens entwickelt. Diese Abhängigkeit ist entstanden durch das häufige Trinken in der Gesellschaft von Arbeitskolleginnen, Arbeitskollegen und weiteren Personen, unabhängig von deren geschlechtlicher Identität, die ebenfalls an diesen gemeinschaftlichen Trinkgewohnheiten beteiligt waren.",21
"Rund ums Kottbusser Tor gibt es viele Alkoholiker/innen besonders am Dienstag Abend, dort gibt es einen Treffpunkt für sie.","Rund ums Kottbusser Tor gibt es viele Alkoholiker besonders am Dienstag Abend, dort gibt es einen Treffpunkt für sie.","Rund ums Kottbusser Tor gibt es viele Alkoholikerinnen besonders am Dienstag Abend, dort gibt es einen Treffpunkt für sie.","Rund um das Kottbusser Tor gibt es viele Menschen, die von Alkoholabhängigkeit betroffen sind, insbesondere am Dienstagabend, wo sich dort ein Treffpunkt für diese Personen versammelt, unabhängig davon, wie sie sich in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität definieren, sei es als Frau, Mann oder eine nicht-binäre Person oder eine Person mit einer anderen geschlechtlichen Identität.",22
Ich wurde von einer alleinerziehende Person aufgezogen,Ich wurde von einem Alleinerziehenden aufgezogen.,Ich wurde von einer Alleinerziehenden aufgezogen.,"Ich wurde von einer Person, die alleinerziehend ist und somit die Verantwortung für die Erziehung und Betreuung von mir und möglicherweise weiteren Kindern alleine übernommen hat, aufgezogen. Diese Person könnte ein Vater, eine Mutter oder eine nicht-binäre Person sein und spielt eine entscheidende Rolle in meinem Leben, unabhängig von ihrer geschlechtlichen Identität.",23
Dier Anbieter/in präsentiert ihre Produkte oder Dienstleistungen.,Der Anbieter präsentiert seine Produkte oder Dienstleistungen.,Die Anbieterin präsentiert ihre Produkte oder Dienstleistungen.,"Die Anbieterinnen, Anbieter und Personen mit anderen geschlechtlichen Identitäten, die Produkte oder Dienstleistungen zur Verfügung stellen, präsentieren diese mit großem Engagement und Professionalität, unabhängig davon, wie sie sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",24
Das Angebot der Anbieterperson umfasst eine Vielzahl von Produkten,Das Angebot des Anbieter umfasst eine Vielzahl von Produkten,Das Angebot der Anbieterin umfasst eine Vielzahl von Produkten,"Das Angebot der Anbieterperson, unabhängig von deren Geschlechtsidentität und Bezeichnung – sei es als Anbieter, Anbieterin oder einer anderen geschlechtlichen Identität – umfasst eine Vielzahl von Produkten, die für alle Interessierten, ganz gleich, welches Geschlecht oder welche Geschlechtsidentität sie haben, zugänglich sind.",25
Gegenüber respektiert man die Meinungen und Bedürfnisse anderer.,Gegenüber respektiert man die Meinungen und Bedürfnisse anderer.,Gegenüber respektiert man die Meinungen und Bedürfnisse anderer.,"Gegenüber respektiert man die Meinungen und Bedürfnisse anderer, unabhängig von deren Geschlechtsidentität, sei es bei Frauen, Männern oder Personen mit anderen geschlechtlichen Identitäten. Jede Meinung und jedes Bedürfnis, egal von wem sie geäußert werden, wird wertgeschätzt und findet Beachtung.",26
"AnfängerInnen sollten sich nicht scheuen, nach Rat zu fragen.","Anfänger sollten sich nicht scheuen, nach Rat zu fragen.","Anfängerinnen sollten sich nicht scheuen, nach Rat zu fragen.","Anfängerinnen, Anfänger und Personen mit anderen geschlechtlichen Identitäten, die sich in einem bestimmten Bereich noch am Anfang ihrer Lernreise befinden, sollten sich nicht scheuen, nach Rat und Unterstützung zu fragen, um ihre Fähigkeiten und ihr Wissen zu erweitern.",27
... Das Angebot richtet sich an AnfängerInnen und Fortgeschrittene.,... Das Angebot richtet sich an Anfänger und Fortgeschrittene.,... Das Angebot richtet sich an Anfängerinnen und Fortgeschrittene.,"Das Angebot richtet sich an Personen, die sich als Anfängerinnen, Anfänger oder in einer anderen geschlechtlichen Identität verstehen, sowie an diejenigen, die bereits über fortgeschrittene Kenntnisse verfügen, unabhängig von ihrer geschlechtlichen Identität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität.",28
Dier Anführer/in setzt klare Ziele für das Team. ,Der Anführer setzt klare Ziele für das Team. ,Die Anführerin setzt klare Ziele für das Team. ,"Die Person, die das Team anführt, unabhängig von deren Geschlechtsidentität, sei es eine Führungskraft, ein Führer oder eine Führerin, setzt klare Ziele für das Team, um alle Mitglieder, egal wie sie sich geschlechtlich identifizieren, in ihren gemeinsamen Bemühungen zu unterstützen und zu motivieren.",29
Dier Angehörige unterstützt deren liebsten Menschen in schwierigen Zeiten,Der Angehöriger unterstützt deren Liebsten Menschen in schwierigen Zeiten,Die Angehörige unterstützt deren Liebsten Menschen in schwierigen Zeiten,"Die Angehörigen, die engen Beziehungen zu ihren liebsten Menschen pflegen, unterstützen diese in schwierigen Zeiten, unabhängig von deren Geschlechtsidentität oder persönlicher Lebenssituation.",30
Dier Angeklagte bestreitet deren Schuld vehement.,Der Angeklagte bestreitet seine Schuld vehement.,Die Angeklagte bestreitet ihre Schuld vehement.,"Die angeklagten Personen, unabhängig von ihrer Geschlechtsidentität, bestreiten ihre Schuld mit Nachdruck und Vehemenz. Dies gilt sowohl für Personen, die sich als Frauen oder Männer identifizieren, als auch für alle anderen geschlechtlichen Identitäten, die in diesem juristischen Verfahren involviert sind.",31
Dey fühlt sich durch die Diskussion persönlich angesprochen.,Er fühlt sich durch die Diskussion persönlich angesprochen.,Sie  fühlt sich durch die Diskussion persönlich angesprochen.,"Dey, eine Person, die sich mit verschiedenen Geschlechtsidentitäten identifizieren kann, fühlt sich durch die Diskussion, an der Menschen aller Geschlechter teilnehmen, persönlich angesprochen und in ihren Anliegen und Erfahrungen validiert.",32
Dier Angler/in genießt die Ruhe am Seeufer.,Der Angler genießt die Ruhe am Seeufer.,Die Anglerin genießt die Ruhe am Seeufer.,"Die Person, die angelt, unabhängig davon, ob sie sich als Angler oder Anglerin identifiziert oder einer anderen geschlechtlichen Identität angehört, genießt die Ruhe und Stille am Ufer des Sees, während sie ihre Leidenschaft für das Angeln auslebt.",33
"Dier Angreifer_in sollte lernen, deren Wut zu kontrollieren","Der Angreifer sollte lernen, seine Wut zu kontrollieren","Die Angreiferin sollte lernen, ihre Wut zu kontrollieren","Die Person, die als Angreiferin, Angreifer oder mit einer anderen geschlechtlichen Identität wahrgenommen wird, sollte lernen, ihre Wut zu kontrollieren, unabhängig davon, wie sie sich selbst in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität definiert.",34
"Angreifende werden oft von deren eigenen Ängsten getrieben.
",Angreifer werden oft von seinen eigenen Ängsten getrieben.,Angreiferinnen werden oft von ihren eigenen Ängsten getrieben.,"Angreifende Personen, unabhängig von ihrer Geschlechtsidentität, werden häufig von den Ängsten und Unsicherheiten, die sie empfinden, angetrieben, ganz gleich, ob sie sich als Frauen, Männer oder einer anderen geschlechtlichen Identität definieren.",35
Die Anhänger:in unterstützen ihr Team bei jedem Spiel. ,Der Anhänger unterstützen sein Team bei jedem Spiel. ,Die Anhängerin unterstützen ihr Team bei jedem Spiel. ,"Die Anhängerinnen, Anhänger und Personen mit anderen geschlechtlichen Identitäten, die ihr Team begleiten und unterstützen, stehen ihrem Team bei jedem Spiel zur Seite, unabhängig davon, wie sie sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",36
Die Anklägerin erhebt schwere Vorwürfe.,Der Ankläger erhebt schwere Vorwürfe.,Die Anklägerin erhebt schwere Vorwürfe.,"Die Anklägerin, die in diesem Fall die Rolle der Person einnimmt, die schwerwiegende Vorwürfe erhebt, ist eine Frau. Es kann jedoch auch eine Person männlichen Geschlechts oder eine Person mit einer anderen geschlechtlichen Identität sein, die die Verantwortung als Ankläger oder Anklägerin in einem rechtlichen Kontext übernimmt und in dieser Funktion schwerwiegende Vorwürfe vorbringt.",37
Dier Anleger*in legt großen Wert auf ein gepflegtes Äußeres. ,Der Anleger legt großen Wert auf ein gepflegtes Äußeres. ,Die Anlegerin legt großen Wert auf ein gepflegtes Äußeres. ,"Die Anlegerinnen, Anleger und Personen anderer geschlechtlicher Identität, die in der Finanzwelt tätig sind oder Interesse am Investieren haben, legen großen Wert auf ein gepflegtes Äußeres und achten darauf, ihre persönliche Präsentation ansprechend und stilvoll zu gestalten, unabhängig von ihrer Geschlechtsidentität oder geschlechtlichen Präferenz.",38
"Dier Anlieger_in freute sich über neue Baugenehmigungen, damit das Viertel wachsen kann.","Der Anlieger freute sich über neue Baugenehmigungen, damit das Viertel wachsen kann.
","Die Anliegerin freute sich über neue Baugenehmigungen, damit das Viertel wachsen kann.
","Die Person, die als Anliegerin, Anlieger oder mit einer anderen geschlechtlichen Identität in diesem Viertel ansässig ist, freute sich über die neuen Baugenehmigungen, die es ermöglichen, dass das Viertel weiter wächst und sich entwickelt.",39
Die Anlieger_innen der Straße protestierten gegen den geplanten Bau.,Die Anlieger der Straße protestierten gegen den geplanten Bau.,Die Anliegerinnen der Straße protestierten gegen den geplanten Bau.,"Die Anliegerinnen, Anlieger und Personen mit anderen geschlechtlichen Identitäten, die an der betreffenden Straße wohnen oder dort ansässig sind, protestierten gegen den geplanten Bau.",40
Dier Anrainer:in der Baustelle wurde über die Lärmbelästigung informiert.,Der Anrainer der Baustelle wurde über die Lärmbelästigung informiert.,Die Anrainerin der Baustelle wurde über die Lärmbelästigung informiert.,"Die Anwohnerinnen und Anwohner der Baustelle, sowie Personen mit anderen geschlechtlichen Identitäten, die in der Nähe der Baustelle leben, wurden über die Lärmbelästigung informiert, um sicherzustellen, dass alle Betroffenen in Vollem Umfang über die situation angemessen informiert sind und sich gegebenenfalls darauf vorbereiten können.",41
Dier Anrufer:in meldete einen Notfall.,Der Anrufer meldete einen Notfall.,Die Anruferin meldete einen Notfall.,"Die Person, die anruft, ganz gleich ob sie sich als Anrufer, Anruferin oder mit einer anderen geschlechtlichen Identität definiert, hat einen Notfall gemeldet.",42
Dier Ansprechpartner_in für technische Fragen ist sehr freundlich.,Der Ansprechpartner für technische Fragen ist sehr freundlich.,Die Ansprechpartnerin für technische Fragen ist sehr freundlich.,"Die Ansprechpartnerinnen, Ansprechpartner und Personen mit anderen geschlechtlichen Identitäten, die für technische Fragen zuständig sind, zeichnen sich durch ihre freundliche Art aus.",43
Die antisemitisch eingestellte Person verbreitete hasserfüllte Ansichten.,Der Antisemit verbreitete hasserfüllte Ansichten.,Die Antisemitin verbreitete hasserfüllte Ansichten.,"Die Person, die antisemitische Einstellungen hat, verbreitete hasserfüllte und diskriminierende Ansichten, unabhängig von deren Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität.",44
Die beantragende Person füllte alle notwendigen Formulare aus.,Der Antragsteller füllte alle notwendigen Formulare aus.,Die Antragstellerin füllte alle notwendigen Formulare aus.,"Die Person, die den Antrag gestellt hat, hat alle erforderlichen Formulare vollständig ausgefüllt, unabhängig von ihrer Geschlechtsidentität, ob sie eine Frau, ein Mann oder eine Person eines anderen Geschlechts ist.",45
... Antragsteller*innen werden in Kürze benachrichtigt.,... Antragsteller werden in Kürze benachrichtigt.,... Antragstellerinnen werden in Kürze benachrichtigt.,"Die Antragstellerinnen, Antragsteller und Personen mit anderen geschlechtlichen Identitäten, die einen Antrag eingereicht haben, werden in Kürze über den Stand ihres Antrags informiert, unabhängig davon, wie sie sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",46
Die Rechtsvertretung gewann fast alle Prozesse vor Gericht.,Der Anwalt gewann fast alle Prozesse vor Gericht.,Die Anwältin gewann fast alle Prozesse vor Gericht.,"Die Rechtsvertretung, bestehend aus Rechtsanwälten, Rechtsanwältinnen sowie weiteren Personen mit unterschiedlichen geschlechtlichen Identitäten, die in der juristischen Praxis tätig sind, hat in nahezu allen Verfahren und Prozessen vor Gericht gewonnen, unabhängig von der Geschlechtsidentität der beteiligten Personen.",47
Dier Anwender_in der Software war mit der Oberfläche sehr zufrieden.,Der Anwender der Software war mit der Oberfläche sehr zufrieden.,Die Anwenderin der Software war mit der Oberfläche sehr zufrieden.,"Die Personen, die die Software verwenden, unabhängig davon, ob sie sich als Anwender, Anwenderin oder einer anderen geschlechtlichen Identität definieren, waren mit der Benutzeroberfläche der Software äußerst zufrieden.",48
Die Anwender_innen der neuen Programme sehnten sich nach den alten zurück.,Die Anwender der neuen Programme sehnten sich nach den alten zurück.,Die Anwenderinnen der neuen Programme sehnten sich nach den alten zurück.,"Die Anwenderinnen, Anwender und Personen mit anderen geschlechtlichen Identitäten, die die neuen Programme nutzen, sehnten sich nach den älteren Versionen dieser Programme zurück, unabhängig von ihrer Geschlechtsidentität oder der Art und Weise, wie sie sich selbst definieren.",49
Die Schulung war sehr anwender/inbezogen und praktisch.,Die Schulung war sehr anwenderbezogen und praktisch.,Die Schulung war sehr anwenderinbezogen und praktisch.,"Die Schulung war sehr anwendungsorientiert und praktisch gestaltet, sodass sie sowohl für Personen, die sich als Anwender oder Anwenderinnen identifizieren, als auch für Menschen mit anderen geschlechtlichen Identitäten, die an den Inhalten und der praktischen Anwendung interessiert sind, zugänglich und hilfreich war.",50
Die Anwohner_innen beschwerten sich über den Baustellenlärm.,Die Anwohner beschwerten sich über den Baustellenlärm.,Die Anwohnerinnen beschwerten sich über den Baustellenlärm.,"Die Anwohner, Anwohnerinnen und Personen, die in der jeweiligen Nachbarschaft leben und sich durch Lärm von Baustellen gestört fühlen, haben ihre Beschwerden über die Lärmbelästigung durch die Bauarbeiten geäußert, unabhängig von ihrer Geschlechtsidentität.",51
Die approbierte pharmazeutische Fachkraft beriet kompetent zu den Medikamenten.,Der Apotheker beriet kompetent zu den Medikamenten.,Die Apothekerin beriet kompetent zu den Medikamenten.,"Die approbierte pharmazeutische Fachkraft, unabhängig davon, ob es sich um eine Frau, einen Mann oder eine Person mit einer anderen geschlechtlichen Identität handelt, beraten kompetent alle interessierten Personen zu den Medikamenten, die zur Verfügung stehen, und stehen ihnen dabei mit ihrem Fachwissen zur Seite.",52
... Fragen Sie IhreN ÄrztIn oder ApothekerIn.,... Fragen Sie Ihren Arzt oder Apotheker.,... Fragen Sie Ihre Ärztin oder Apothekerin.,"Bitte wenden Sie sich an Ihre Ärztin, Ihren Arzt oder an Personen, die in der medizinischen oder apothekerlichen Praxis tätig sind, unabhängig von deren Geschlechtsidentität, um Ihre Fragen zu klären.",53
Dier Arbeiter*in schuftete den ganzen Tag auf der Baustelle.,Der Arbeiter schuftete den ganzen Tag auf der Baustelle.,Die Arbeiterin schuftete den ganzen Tag auf der Baustelle.,"Die Person, die auf der Baustelle arbeitet und in diesem Zusammenhang als Arbeiter oder Arbeiterin identifiziert wird, hat den ganzen Tag über hart gearbeitet und sich dabei intensiv mit den verschiedenen Aufgaben und Herausforderungen auf der Baustelle auseinandergesetzt, unabhängig davon, ob sie sich als Mann, Frau oder einer anderen geschlechtlichen Identität versteht.",54
"Die Arbeiter/innen legten eine Pause ein, um sich zu stärken.","Die Arbeiter legten eine Pause ein, um sich zu stärken.","Die Arbeiterinnen legten eine Pause ein, um sich zu stärken.","Die Arbeiter, Arbeiterinnen und Personen anderer geschlechtlicher Identitäten, die in verschiedenen Berufen tätig sind, legten eine Pause ein, um sich zu stärken und neue Energie zu tanken.",55
"Mein Elternteil hat kommt von der arbeitenden Klasse. Ich bin die erste Person, die studiert hat in der Familie.",Mein Elternteil hat kommt von der Arbeiterklasse. Ich bin die erste Person die studiert hat in der Familie,Mein Elternteil hat kommt von der Arbeiterinklasse. Ich bin die erste Person die studiert hat in der Familie,"Mein Elternteil, das einer Familie aus der Arbeiterklasse entstammt, hat hart gearbeitet und beigetragen, um mir die Möglichkeit zu geben, eine akademische Ausbildung anzustreben. Ich bin die erste Person in meiner Familie, unabhängig von Geschlecht oder Geschlechtsidentität, die die Entscheidung getroffen hat, ein Studium aufzunehmen und somit neue Bildungswege zu erschließen.",56
Dier Arbeitgeber*in bietet deren Angestellten flexible Arbeitszeiten an.,Der Arbeitgeber bietet seinen Angestellten flexible Arbeitszeiten an.,Die Arbeitgeberin bietet ihren Angestellten flexible Arbeitszeiten an.,"Der Arbeitgeber, die Arbeitgeberin und alle Personen, die in einer Anstellung oder Beschäftigung als Arbeitgeber tätig sind, bieten ihren Angestellten, Mitarbeitenden und Beschäftigten, unabhängig von deren Geschlechtsidentität oder geschlechtlichem Hintergrund, flexible Arbeitszeiten an.",57
Viele Arbeitgebende schätzen Pünktlichkeit und Zuverlässigkeit.,Viele Arbeitgeber schätzen Pünktlichkeit und Zuverlässigkeit.,Viele Arbeitgeberinnen schätzen Pünktlichkeit und Zuverlässigkeit.,"Viele Personen, die als Arbeitgebende fungieren, unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität, schätzen Pünktlichkeit und Zuverlässigkeit bei ihren Mitarbeitenden, ob diese nun Frauen, Männer oder nicht-binäre sowie andere geschlechtliche Identitäten haben.",58
"Das ist ein Aspekt, der für deren spätere Arbeitgeber/innen interessant ist.","Das ist ein Aspekt, der für seine späteren Arbeitgeber interessant ist.","Das ist ein Aspekt, der für ihre spätere Arbeitgeberinnen interessant ist.","Das ist ein Aspekt, der für die späteren Arbeitgeber, Arbeitgeberinnen und Personen mit anderen geschlechtlichen Identitäten, die in der Zukunft eine Anstellung bieten oder eine berufliche Beziehung eingehen könnten, von Interesse ist.",59
Dier Arbeitnehmer_in forderte bessere Arbeitsbedingungen.,Der Arbeitnehmer forderte bessere Arbeitsbedingungen.,Die Arbeitnehmerin forderte bessere Arbeitsbedingungen.,"Die Arbeitnehmerinnen, Arbeitnehmer und Personen mit anderen geschlechtlichen Identitäten, die in einem Beschäftigungsverhältnis stehen, forderten bessere Arbeitsbedingungen, um ein angemessenes und unterstützendes Arbeitsumfeld für alle Beschäftigten unabhängig von Geschlecht oder Geschlechtsidentität zu schaffen.",60
Der Personalvorsitz verhandelte mit den ArbeitnehmerInnen über die neuen Verträge.,Der Personalvorsitz verhandelte mit den Arbeitnehmern über die neuen Verträge.,Der Personalvorsitz verhandelte mit den Arbeitnehmerinnen über die neuen Verträge.,"Der Personalvorsitz, der sowohl aus Personen besteht, die sich als Männer identifizieren, als auch aus Personen, die sich als Frauen identifizieren, sowie aus Menschen mit anderen Geschlechtsidentitäten, verhandelte mit den Arbeitnehmerinnen, Arbeitnehmern und weiteren Personen, die in dieser Funktion tätig sind oder eine Stellung im Unternehmen haben, über die neuen Verträge.",61
Mein/e Arbeitskolleg/in half mir bei einem schwierigen Projekt.,Mein Arbeitskollege half mir bei einem schwierigen Projekt.,Meine Arbeitskollegin half mir bei einem schwierigen Projekt.,"Mein/e Arbeitskollege/in half mir bei einem schwierigen Projekt. -> Eine Person, die in meiner beruflichen Umgebung tätig ist und sich als Kollege oder Kollegin identifizieren mag, sowie andere Personen mit unterschiedlichen geschlechtlichen Identitäten, unterstützte mich tatkräftig bei der Bewältigung eines herausfordernden Projekts.",62
... Anna und Peter sind Arbeitskolleg_innen.,... Anna und Peter sind Arbeitskollegen.,... Anna und Peter sind Arbeitskolleginnen.,"Anna und Peter sind Arbeitskollegen, Arbeitskolleginnen und Personen mit anderen geschlechtlichen Identitäten, die gemeinsam in einem beruflichen Umfeld arbeiten.",63
